Fecha,Sistema operativo,Número de vistas de página
30 mar 2019,Android,6
31 mar 2019,Windows,41
31 mar 2019,Macintosh,1
31 mar 2019,Android,8
1 abr 2019,Android,46
1 abr 2019,iOS,1
1 abr 2019,Windows,136
2 abr 2019,Linux,2
2 abr 2019,Android,28
2 abr 2019,Macintosh,2
2 abr 2019,Windows,64
2 abr 2019,iOS,1
3 abr 2019,Linux,8
3 abr 2019,Android,67
3 abr 2019,Windows,231
3 abr 2019,iOS,3
4 abr 2019,Linux,2
4 abr 2019,Macintosh,2
4 abr 2019,Android,75
4 abr 2019,iOS,5
4 abr 2019,Windows,92
5 abr 2019,Windows,139
5 abr 2019,Linux,211
5 abr 2019,Android,33
6 abr 2019,Android,39
6 abr 2019,Windows,44
6 abr 2019,Macintosh,2
7 abr 2019,Android,25
7 abr 2019,Windows,59
8 abr 2019,iOS,1
8 abr 2019,Windows,96
8 abr 2019,Android,18
9 abr 2019,Windows Phone,1
9 abr 2019,iOS,6
9 abr 2019,Linux,6
9 abr 2019,Android,95
9 abr 2019,Windows,131
10 abr 2019,Android,45
10 abr 2019,Macintosh,2
10 abr 2019,Windows,108
10 abr 2019,iOS,1
11 abr 2019,Windows,144
11 abr 2019,Macintosh,3
11 abr 2019,Linux,1
11 abr 2019,Android,60
12 abr 2019,Windows,142
12 abr 2019,iOS,3
12 abr 2019,(not set),1
12 abr 2019,Android,63
13 abr 2019,Windows,61
13 abr 2019,Android,30
13 abr 2019,iOS,3
14 abr 2019,Android,15
14 abr 2019,Windows,62
15 abr 2019,Windows,126
15 abr 2019,Android,58
15 abr 2019,iOS,1
15 abr 2019,(not set),1
16 abr 2019,Android,104
16 abr 2019,Linux,4
16 abr 2019,Windows,23
16 abr 2019,Macintosh,1
16 abr 2019,iOS,1
17 abr 2019,Linux,7
17 abr 2019,Windows,39
17 abr 2019,Android,64
17 abr 2019,iOS,1
18 abr 2019,Windows,16
18 abr 2019,Android,32
19 abr 2019,Android,63
19 abr 2019,Windows,47
19 abr 2019,iOS,1
20 abr 2019,Windows,37
20 abr 2019,Android,9
21 abr 2019,Windows,42
21 abr 2019,iOS,2
21 abr 2019,Android,8
22 abr 2019,Android,57
22 abr 2019,Windows,138
22 abr 2019,iOS,39
23 abr 2019,Windows,58
23 abr 2019,Macintosh,2
23 abr 2019,iOS,13
23 abr 2019,Android,85
24 abr 2019,iOS,8
24 abr 2019,Windows,20
24 abr 2019,Android,79
25 abr 2019,Linux,1
25 abr 2019,Windows,70
25 abr 2019,Android,25
25 abr 2019,iOS,2
26 abr 2019,Linux,1
26 abr 2019,Android,62
26 abr 2019,Windows,46
26 abr 2019,iOS,2
27 abr 2019,Macintosh,1
27 abr 2019,Windows,36
27 abr 2019,Android,20
28 abr 2019,Windows,73
28 abr 2019,Macintosh,3
28 abr 2019,iOS,2
28 abr 2019,Android,30
29 abr 2019,iOS,5
29 abr 2019,Windows,88
29 abr 2019,Android,32
29 abr 2019,Linux,10
30 abr 2019,Windows,53
30 abr 2019,iOS,1
30 abr 2019,Android,35
1 may 2019,Android,19
1 may 2019,Windows,21
2 may 2019,Android,58
