Fecha,Categoría de dispositivo,Número de vistas de página
23 abr 2019,desktop,60
23 abr 2019,mobile,98
24 abr 2019,desktop,20
24 abr 2019,mobile,87
25 abr 2019,mobile,27
25 abr 2019,desktop,71
26 abr 2019,mobile,64
26 abr 2019,desktop,47
27 abr 2019,mobile,20
27 abr 2019,desktop,37
28 abr 2019,mobile,32
28 abr 2019,desktop,76
29 abr 2019,desktop,98
29 abr 2019,mobile,37
30 abr 2019,desktop,53
30 abr 2019,mobile,36
1 may 2019,mobile,19
1 may 2019,desktop,21
2 may 2019,desktop,101
2 may 2019,mobile,61
3 may 2019,mobile,52
3 may 2019,desktop,159
4 may 2019,mobile,16
4 may 2019,desktop,47
5 may 2019,mobile,47
5 may 2019,desktop,23
6 may 2019,mobile,32
6 may 2019,desktop,233
7 may 2019,mobile,53
7 may 2019,desktop,97
8 may 2019,desktop,83
8 may 2019,mobile,63
8 may 2019,tablet,2
9 may 2019,tablet,3
9 may 2019,desktop,83
9 may 2019,mobile,36
10 may 2019,desktop,70
10 may 2019,tablet,1
10 may 2019,mobile,62
11 may 2019,desktop,49
11 may 2019,mobile,71
11 may 2019,tablet,1
12 may 2019,mobile,30
12 may 2019,desktop,68
13 may 2019,desktop,100
13 may 2019,mobile,15
14 may 2019,mobile,14
14 may 2019,desktop,88
15 may 2019,desktop,122
15 may 2019,tablet,9
15 may 2019,mobile,45
16 may 2019,tablet,1
16 may 2019,desktop,78
16 may 2019,mobile,50
17 may 2019,mobile,66
17 may 2019,desktop,103
18 may 2019,desktop,9
18 may 2019,mobile,41
19 may 2019,desktop,90
19 may 2019,mobile,31
20 may 2019,desktop,57
20 may 2019,mobile,15
20 may 2019,tablet,4
21 may 2019,desktop,167
21 may 2019,mobile,49
22 may 2019,mobile,60
22 may 2019,desktop,56
23 may 2019,desktop,53
23 may 2019,mobile,36
24 may 2019,mobile,10
24 may 2019,desktop,79
25 may 2019,desktop,21
25 may 2019,mobile,17
26 may 2019,desktop,51
26 may 2019,mobile,15
27 may 2019,mobile,13
27 may 2019,desktop,106
28 may 2019,mobile,56
28 may 2019,desktop,61
29 may 2019,mobile,28
29 may 2019,desktop,154
30 may 2019,desktop,99
30 may 2019,mobile,10
31 may 2019,mobile,6
31 may 2019,desktop,125
1 jun 2019,mobile,26
1 jun 2019,desktop,49
2 jun 2019,mobile,14
2 jun 2019,desktop,58
2 jun 2019,tablet,1
3 jun 2019,mobile,74
3 jun 2019,desktop,61
4 jun 2019,desktop,140
4 jun 2019,mobile,79
5 jun 2019,mobile,45
5 jun 2019,desktop,65
6 jun 2019,desktop,77
6 jun 2019,mobile,53
7 jun 2019,mobile,18
7 jun 2019,desktop,67
8 jun 2019,mobile,122
8 jun 2019,desktop,40
9 jun 2019,desktop,108
9 jun 2019,mobile,21
10 jun 2019,mobile,28
10 jun 2019,desktop,91
11 jun 2019,mobile,30
11 jun 2019,desktop,74
12 jun 2019,desktop,145
12 jun 2019,mobile,237
13 jun 2019,desktop,97
13 jun 2019,mobile,44
