,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
94,10 ene 2019,16,5,5,1.0,5,11,5,15,1,0,5.333333333333333,6.847546194724712,0,0,1,5,10,0,0,0,0,1.6,3.1685959035509716,0,16,0,0,4.0,6.92820323027551
95,11 ene 2019,38,2,3,1.0,3,21,17,19,19,0,12.666666666666664,8.956685895029603,0,19,0,17,2,0,0,0,0,3.8,7.138627319029897,0,38,0,0,9.5,16.454482671904334
96,12 ene 2019,8,3,5,1.4,7,7,1,4,4,0,2.6666666666666665,1.8856180831641267,0,4,0,4,0,0,0,0,0,0.8,1.6000000000000003,2,6,0,0,2.0,2.449489742783178
97,13 ene 2019,11,4,5,1.0,5,10,1,10,1,0,3.6666666666666665,4.496912521077348,0,1,0,10,0,0,0,0,0,1.1,2.9816103031751138,4,7,0,0,2.75,2.9474565306378993
98,14 ene 2019,6,2,2,1.5,3,5,1,1,5,0,2.0,2.160246899469287,0,5,0,1,0,0,0,0,0,0.6,1.4966629547095764,1,5,0,0,1.5,2.0615528128088303
99,15 ene 2019,6,4,4,1.0,4,4,2,6,0,0,2.0,2.8284271247461903,0,0,0,6,0,0,0,0,0,0.6,1.8,0,5,1,0,1.5,2.0615528128088303
100,16 ene 2019,44,5,5,1.2,6,38,6,20,24,0,14.666666666666664,10.498677165349081,0,0,0,15,5,24,0,0,0,4.4,7.952358140828418,5,39,0,0,11.0,16.294170736800325
101,17 ene 2019,56,6,7,1.1428571428571428,8,56,0,50,6,0,18.666666666666668,22.291004663067323,0,6,0,50,0,0,0,0,0,5.6,14.907716122867381,0,56,0,0,14.0,24.248711305964278
102,18 ene 2019,37,7,8,1.0,8,36,1,31,6,0,12.333333333333336,13.424687043734846,0,5,1,31,0,0,0,0,0,3.7,9.220086767487603,1,36,0,0,9.25,15.449514555480375
103,19 ene 2019,34,6,9,1.2222222222222223,11,31,3,15,18,1,11.333333333333336,7.4087035902976215,0,16,2,15,0,1,0,0,0,3.4,6.086049621881176,0,33,1,0,8.5,14.150971698084906
