Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
20 nov 2023,140,37,48,1.1702127659574468,55
21 nov 2023,171,60,70,1.173913043478261,81
22 nov 2023,158,46,66,1.2542372881355932,74
23 nov 2023,174,42,55,1.2,66
24 nov 2023,143,60,71,1.164179104477612,78
25 nov 2023,62,32,42,1.2564102564102564,49
26 nov 2023,92,32,49,1.127659574468085,53
27 nov 2023,103,36,48,1.173913043478261,54
28 nov 2023,192,65,90,1.1777777777777778,106
29 nov 2023,166,53,82,1.2837837837837838,95
30 nov 2023,107,37,53,1.16,58
1 dic 2023,51,30,36,1.1764705882352942,40
2 dic 2023,46,24,30,1.2413793103448276,36
3 dic 2023,33,18,23,1.1428571428571428,24
4 dic 2023,68,40,54,1.1224489795918366,55
5 dic 2023,175,49,70,1.2285714285714286,86
6 dic 2023,132,37,60,1.3214285714285714,74
7 dic 2023,138,29,45,1.186046511627907,51
8 dic 2023,62,19,23,1.0454545454545454,23
9 dic 2023,45,22,25,1.08,27
10 dic 2023,38,19,25,1.08,27
11 dic 2023,270,55,72,1.3333333333333333,92
12 dic 2023,128,40,55,1.3076923076923077,68
13 dic 2023,86,34,45,1.1818181818181819,52
14 dic 2023,66,34,44,1.0975609756097562,45
15 dic 2023,135,33,46,1.380952380952381,58
16 dic 2023,19,13,16,1.1875,19
17 dic 2023,57,14,18,1.1111111111111112,20
18 dic 2023,244,34,40,1.1842105263157894,45
19 dic 2023,513,18,30,1.6153846153846154,42
20 dic 2023,588,32,38,1.2702702702702702,47
21 dic 2023,235,31,37,1.1388888888888888,41
22 dic 2023,311,31,41,1.3157894736842106,50
23 dic 2023,40,26,29,1.0740740740740742,29
24 dic 2023,21,13,14,1,14
25 dic 2023,22,14,18,1.1875,19
26 dic 2023,61,15,21,1.25,25
27 dic 2023,44,19,28,1.1153846153846154,29
28 dic 2023,50,23,29,1.2142857142857142,34
29 dic 2023,34,19,22,1.1428571428571428,24
30 dic 2023,37,12,17,1.2857142857142858,18
31 dic 2023,38,7,9,1.625,13
1 ene 2024,31,15,18,1.125,18
2 ene 2024,73,16,22,1.1363636363636365,25
3 ene 2024,64,21,26,1.2,30
4 ene 2024,48,24,27,1.0769230769230769,28
5 ene 2024,30,18,19,1.0526315789473684,20
6 ene 2024,27,10,12,1.0909090909090908,12
7 ene 2024,18,12,12,1.1666666666666667,14
8 ene 2024,111,18,22,1.2380952380952381,26
9 ene 2024,61,24,29,1.1071428571428572,31
10 ene 2024,102,24,29,1.1851851851851851,32
11 ene 2024,63,16,21,1.1,22
12 ene 2024,65,21,25,1.0416666666666667,25
13 ene 2024,64,11,13,1.0769230769230769,14
14 ene 2024,8,7,9,1.125,9
15 ene 2024,61,20,22,1.0476190476190477,22
16 ene 2024,40,21,23,1.1904761904761905,25
17 ene 2024,32,22,25,1.0833333333333333,26
18 ene 2024,73,25,30,1.1724137931034482,34
19 ene 2024,82,25,28,1.1538461538461537,30
20 ene 2024,19,8,9,1.125,9
21 ene 2024,48,13,18,1.375,22
22 ene 2024,140,18,23,1.3181818181818181,29
23 ene 2024,55,27,30,1.0666666666666667,32
24 ene 2024,53,19,24,1.1904761904761905,25
