Fecha,Sistema operativo,Vistas
5 dic 2022,Macintosh,1
6 dic 2022,Windows,188
6 dic 2022,Android,65
6 dic 2022,Chrome OS,2
6 dic 2022,Macintosh,2
7 dic 2022,Windows,187
7 dic 2022,Android,14
7 dic 2022,iOS,1
8 dic 2022,Android,11
8 dic 2022,Windows,8
8 dic 2022,iOS,3
8 dic 2022,Linux,1
9 dic 2022,Windows,19
9 dic 2022,Android,4
9 dic 2022,iOS,1
10 dic 2022,Windows,10
10 dic 2022,Android,2
10 dic 2022,Macintosh,1
10 dic 2022,iOS,1
11 dic 2022,Windows,27
11 dic 2022,Android,10
11 dic 2022,Linux,3
11 dic 2022,Macintosh,1
12 dic 2022,Windows,341
12 dic 2022,Android,30
12 dic 2022,Linux,13
12 dic 2022,Macintosh,3
13 dic 2022,Windows,92
13 dic 2022,Android,11
13 dic 2022,Linux,1
13 dic 2022,iOS,1
14 dic 2022,Windows,45
14 dic 2022,Android,8
14 dic 2022,Linux,1
14 dic 2022,iOS,1
15 dic 2022,Windows,22
15 dic 2022,Android,14
15 dic 2022,Linux,4
16 dic 2022,Windows,45
16 dic 2022,Android,39
16 dic 2022,Linux,17
16 dic 2022,iOS,5
17 dic 2022,Windows,16
17 dic 2022,Android,14
17 dic 2022,iOS,1
18 dic 2022,Windows,7
18 dic 2022,Android,4
19 dic 2022,Windows,94
19 dic 2022,Android,16
19 dic 2022,Macintosh,1
20 dic 2022,Android,37
20 dic 2022,Linux,25
20 dic 2022,Windows,16
21 dic 2022,Windows,84
21 dic 2022,Android,36
21 dic 2022,iOS,1
22 dic 2022,Windows,20
22 dic 2022,Android,16
22 dic 2022,Linux,1
23 dic 2022,Windows,14
23 dic 2022,Android,4
23 dic 2022,Linux,1
24 dic 2022,Android,3
24 dic 2022,Macintosh,1
24 dic 2022,Windows,1
25 dic 2022,Android,17
25 dic 2022,iOS,6
25 dic 2022,Windows,5
26 dic 2022,Android,36
26 dic 2022,Windows,21
26 dic 2022,Macintosh,2
27 dic 2022,Windows,14
27 dic 2022,Android,4
28 dic 2022,Android,89
28 dic 2022,Windows,43
28 dic 2022,iOS,16
28 dic 2022,Macintosh,2
28 dic 2022,Linux,1
29 dic 2022,Android,78
29 dic 2022,Windows,46
29 dic 2022,Linux,27
29 dic 2022,iOS,7
30 dic 2022,Windows,17
30 dic 2022,Android,9
30 dic 2022,iOS,2
31 dic 2022,Android,77
31 dic 2022,Windows,6
31 dic 2022,iOS,2
1 ene 2023,Android,8
1 ene 2023,Windows,6
1 ene 2023,iOS,2
1 ene 2023,Linux,0
2 ene 2023,Windows,24
2 ene 2023,Android,8
2 ene 2023,Macintosh,2
3 ene 2023,Android,17
3 ene 2023,Windows,16
3 ene 2023,iOS,1
4 ene 2023,Linux,13
4 ene 2023,Windows,13
4 ene 2023,Android,10
4 ene 2023,iOS,8
5 ene 2023,Android,20
5 ene 2023,Windows,15
5 ene 2023,Macintosh,1
6 ene 2023,Android,17
6 ene 2023,Windows,9
7 ene 2023,Android,32
7 ene 2023,Windows,20
8 ene 2023,Android,11
8 ene 2023,Windows,3
9 ene 2023,Windows,42
9 ene 2023,Android,3
9 ene 2023,Macintosh,3
9 ene 2023,iOS,1
10 ene 2023,Windows,18
10 ene 2023,Android,8
10 ene 2023,Macintosh,3
10 ene 2023,iOS,2
11 ene 2023,Android,17
11 ene 2023,Windows,14
11 ene 2023,iOS,1
12 ene 2023,Android,10
12 ene 2023,Windows,10
12 ene 2023,iOS,3
12 ene 2023,Linux,1
13 ene 2023,Windows,20
13 ene 2023,Android,8
13 ene 2023,Macintosh,5
14 ene 2023,Windows,9
14 ene 2023,Android,6
15 ene 2023,Windows,8
15 ene 2023,Android,4
15 ene 2023,Macintosh,1
16 ene 2023,Windows,15
16 ene 2023,Macintosh,6
16 ene 2023,Android,2
16 ene 2023,iOS,1
17 ene 2023,Windows,21
17 ene 2023,Android,19
18 ene 2023,Windows,14
18 ene 2023,Android,7
18 ene 2023,iOS,3
18 ene 2023,Macintosh,1
19 ene 2023,Windows,33
19 ene 2023,Android,10
19 ene 2023,iOS,1
19 ene 2023,Linux,0
20 ene 2023,Android,18
20 ene 2023,Windows,6
20 ene 2023,iOS,3
20 ene 2023,Linux,1
21 ene 2023,Windows,14
21 ene 2023,iOS,9
21 ene 2023,Android,1
21 ene 2023,Macintosh,1
22 ene 2023,Android,45
22 ene 2023,Windows,2
23 ene 2023,Windows,29
23 ene 2023,Android,6
23 ene 2023,Macintosh,3
23 ene 2023,iOS,1
24 ene 2023,Windows,18
24 ene 2023,Android,7
25 ene 2023,Windows,16
25 ene 2023,Android,8
25 ene 2023,Linux,2
25 ene 2023,iOS,1
26 ene 2023,Windows,31
26 ene 2023,Android,12
26 ene 2023,Linux,1
26 ene 2023,iOS,1
27 ene 2023,Windows,49
27 ene 2023,Android,20
27 ene 2023,iOS,5
27 ene 2023,Macintosh,1
28 ene 2023,Windows,11
28 ene 2023,Android,5
28 ene 2023,iOS,1
28 ene 2023,Macintosh,0
29 ene 2023,Android,10
29 ene 2023,Windows,4
29 ene 2023,iOS,3
30 ene 2023,Android,32
30 ene 2023,Windows,22
30 ene 2023,Macintosh,1
30 ene 2023,iOS,1
31 ene 2023,Windows,31
31 ene 2023,Android,26
31 ene 2023,iOS,2
31 ene 2023,Macintosh,1
1 feb 2023,Windows,31
1 feb 2023,Android,27
2 feb 2023,Windows,13
2 feb 2023,Android,10
2 feb 2023,Linux,1
3 feb 2023,Windows,27
3 feb 2023,Android,8
3 feb 2023,Linux,2
3 feb 2023,Macintosh,1
4 feb 2023,Android,27
4 feb 2023,Windows,18
4 feb 2023,iOS,1
5 feb 2023,Android,37
5 feb 2023,Windows,7
5 feb 2023,iOS,5
5 feb 2023,Linux,4
5 feb 2023,Macintosh,3
6 feb 2023,Windows,92
6 feb 2023,Android,23
6 feb 2023,Linux,4
6 feb 2023,Macintosh,2
7 feb 2023,Windows,102
7 feb 2023,Android,39
7 feb 2023,iOS,1
8 feb 2023,Windows,107
