Fecha,Grupo de canales predeterminado de la sesión,Vistas
16 ene 2023,Referral,1
16 ene 2023,Unassigned,0
17 ene 2023,Direct,29
17 ene 2023,Organic Search,11
18 ene 2023,Organic Search,14
18 ene 2023,Direct,10
18 ene 2023,Referral,1
18 ene 2023,Unassigned,0
19 ene 2023,Organic Search,35
19 ene 2023,Direct,7
19 ene 2023,Organic Social,1
19 ene 2023,Referral,1
20 ene 2023,Organic Search,14
20 ene 2023,Direct,13
20 ene 2023,Referral,1
21 ene 2023,Organic Search,13
21 ene 2023,Direct,12
22 ene 2023,Direct,40
22 ene 2023,Organic Search,6
22 ene 2023,Organic Video,1
23 ene 2023,Organic Search,35
23 ene 2023,Direct,4
24 ene 2023,Organic Search,25
24 ene 2023,Unassigned,0
25 ene 2023,Organic Search,13
25 ene 2023,Direct,12
25 ene 2023,Referral,2
26 ene 2023,Organic Search,32
26 ene 2023,Direct,12
26 ene 2023,Organic Social,1
27 ene 2023,Organic Search,45
27 ene 2023,Direct,29
27 ene 2023,Referral,1
28 ene 2023,Organic Search,12
28 ene 2023,Direct,5
28 ene 2023,Unassigned,0
29 ene 2023,Organic Search,10
29 ene 2023,Direct,7
30 ene 2023,Organic Search,42
30 ene 2023,Direct,13
30 ene 2023,Organic Social,1
31 ene 2023,Organic Search,46
31 ene 2023,Direct,13
31 ene 2023,Referral,1
1 feb 2023,Organic Search,52
1 feb 2023,Direct,4
1 feb 2023,Referral,2
2 feb 2023,Organic Search,14
2 feb 2023,Direct,6
2 feb 2023,Referral,3
2 feb 2023,Organic Social,1
2 feb 2023,Unassigned,0
3 feb 2023,Organic Search,31
3 feb 2023,Direct,7
4 feb 2023,Direct,24
4 feb 2023,Organic Search,22
5 feb 2023,Organic Search,43
5 feb 2023,Direct,12
5 feb 2023,Referral,1
5 feb 2023,Unassigned,0
6 feb 2023,Organic Search,84
6 feb 2023,Direct,29
6 feb 2023,Organic Social,7
6 feb 2023,Organic Video,1
7 feb 2023,Organic Search,83
7 feb 2023,Direct,59
8 feb 2023,Organic Search,110
8 feb 2023,Direct,33
8 feb 2023,Unassigned,3
8 feb 2023,Organic Social,2
8 feb 2023,Referral,1
9 feb 2023,Direct,143
9 feb 2023,Organic Search,49
9 feb 2023,Organic Social,1
9 feb 2023,Referral,1
10 feb 2023,Organic Search,44
10 feb 2023,Direct,42
10 feb 2023,Organic Social,1
10 feb 2023,Organic Video,1
11 feb 2023,Organic Search,8
11 feb 2023,Direct,2
12 feb 2023,Organic Search,14
12 feb 2023,Direct,2
12 feb 2023,Unassigned,0
13 feb 2023,Organic Search,62
13 feb 2023,Direct,48
13 feb 2023,Organic Social,1
13 feb 2023,Referral,1
13 feb 2023,Unassigned,0
14 feb 2023,Direct,49
14 feb 2023,Organic Search,44
14 feb 2023,Organic Video,1
14 feb 2023,Referral,1
15 feb 2023,Direct,388
15 feb 2023,Organic Search,57
15 feb 2023,Organic Social,6
15 feb 2023,Referral,1
15 feb 2023,Unassigned,1
16 feb 2023,Unassigned,107
16 feb 2023,Organic Search,89
16 feb 2023,Direct,74
16 feb 2023,Organic Social,6
17 feb 2023,Organic Search,50
17 feb 2023,Direct,39
17 feb 2023,Referral,1
18 feb 2023,Organic Search,25
18 feb 2023,Direct,3
19 feb 2023,Organic Social,90
19 feb 2023,Organic Search,28
19 feb 2023,Direct,3
20 feb 2023,Organic Search,40
20 feb 2023,Direct,3
20 feb 2023,Referral,3
21 feb 2023,Direct,49
21 feb 2023,Organic Search,17
21 feb 2023,Referral,1
22 feb 2023,Direct,344
22 feb 2023,Organic Search,37
23 feb 2023,Organic Search,105
23 feb 2023,Direct,75
23 feb 2023,Organic Social,23
23 feb 2023,Unassigned,0
24 feb 2023,Organic Search,68
24 feb 2023,Direct,51
24 feb 2023,Referral,3
24 feb 2023,Organic Social,2
25 feb 2023,Organic Search,23
25 feb 2023,Organic Social,17
25 feb 2023,Direct,3
26 feb 2023,Organic Search,19
26 feb 2023,Direct,5
27 feb 2023,Direct,75
27 feb 2023,Organic Search,64
27 feb 2023,Referral,4
27 feb 2023,Organic Social,1
28 feb 2023,Direct,225
28 feb 2023,Organic Search,86
28 feb 2023,Organic Social,43
1 mar 2023,Organic Search,149
1 mar 2023,Direct,130
1 mar 2023,Organic Social,5
1 mar 2023,Organic Video,1
1 mar 2023,Unassigned,0
2 mar 2023,Organic Search,195
2 mar 2023,Direct,47
2 mar 2023,Organic Social,4
2 mar 2023,Referral,2
2 mar 2023,Organic Video,1
2 mar 2023,Unassigned,0
3 mar 2023,Organic Search,48
3 mar 2023,Direct,10
3 mar 2023,Referral,4
3 mar 2023,Unassigned,0
4 mar 2023,Direct,42
4 mar 2023,Organic Search,25
4 mar 2023,Organic Social,1
4 mar 2023,Unassigned,0
5 mar 2023,Organic Search,48
5 mar 2023,Direct,3
5 mar 2023,Unassigned,0
6 mar 2023,Organic Search,73
6 mar 2023,Direct,69
6 mar 2023,Referral,5
6 mar 2023,Organic Social,2
6 mar 2023,Unassigned,0
7 mar 2023,Organic Search,130
7 mar 2023,Direct,43
7 mar 2023,Referral,31
7 mar 2023,Organic Social,4
7 mar 2023,Unassigned,0
8 mar 2023,Organic Search,54
8 mar 2023,Direct,34
8 mar 2023,Referral,7
8 mar 2023,Unassigned,0
9 mar 2023,Direct,124
9 mar 2023,Organic Search,80
9 mar 2023,Organic Social,9
9 mar 2023,Referral,4
9 mar 2023,Unassigned,0
10 mar 2023,Organic Search,70
10 mar 2023,Direct,28
10 mar 2023,Organic Social,7
10 mar 2023,Referral,3
11 mar 2023,Organic Search,47
11 mar 2023,Direct,5
11 mar 2023,Unassigned,2
11 mar 2023,Organic Social,1
11 mar 2023,Referral,1
12 mar 2023,Direct,24
12 mar 2023,Organic Search,10
13 mar 2023,Organic Search,102
13 mar 2023,Direct,71
13 mar 2023,Referral,6
