,Fecha,Número de vistas de página,Usuarios nuevos,Sesiones,mobile Número de vistas de página,mobile Usuarios nuevos,mobile Sesiones,desktop Número de vistas de página,desktop Usuarios nuevos,desktop Sesiones,tablet Número de vistas de página,tablet Usuarios nuevos,tablet Usuarios,tablet Número de sesiones por usuario,tablet Sesiones
1371,28 may 2022,39,10,15,13,8,10,26,2,5,0.0,0.0,0.0,0.0,0.0
1372,29 may 2022,4,4,4,1,1,1,3,3,3,0.0,0.0,0.0,0.0,0.0
1373,30 may 2022,47,19,23,35,13,16,12,6,7,0.0,0.0,0.0,0.0,0.0
1374,31 may 2022,23,15,18,16,12,13,7,3,5,0.0,0.0,0.0,0.0,0.0
1375,1 jun 2022,71,31,45,51,21,30,20,10,15,0.0,0.0,0.0,0.0,0.0
1376,2 jun 2022,30,20,28,17,10,15,13,10,13,0.0,0.0,0.0,0.0,0.0
1377,3 jun 2022,35,16,27,13,8,11,21,7,15,1.0,1.0,0.0,0.0,1.0
1378,4 jun 2022,35,12,19,32,12,16,3,0,3,0.0,0.0,0.0,0.0,0.0
1379,5 jun 2022,17,9,14,8,5,8,9,4,6,0.0,0.0,0.0,0.0,0.0
1380,6 jun 2022,31,5,11,16,1,5,15,4,6,0.0,0.0,0.0,0.0,0.0
1381,7 jun 2022,33,21,28,18,11,15,15,10,13,0.0,0.0,0.0,0.0,0.0
1382,8 jun 2022,43,15,26,20,8,15,23,7,11,0.0,0.0,0.0,0.0,0.0
1383,9 jun 2022,54,26,34,25,13,16,29,13,18,0.0,0.0,0.0,0.0,0.0
1384,10 jun 2022,10,4,9,7,2,6,3,2,3,0.0,0.0,0.0,0.0,0.0
1385,11 jun 2022,26,10,12,6,4,4,20,6,8,0.0,0.0,0.0,0.0,0.0
1386,12 jun 2022,30,9,9,4,4,4,26,5,5,0.0,0.0,0.0,0.0,0.0
1387,13 jun 2022,40,11,19,28,7,13,12,4,6,0.0,0.0,0.0,0.0,0.0
1388,14 jun 2022,44,18,32,34,11,22,10,7,10,0.0,0.0,0.0,0.0,0.0
1389,15 jun 2022,35,17,24,21,9,12,14,8,12,0.0,0.0,0.0,0.0,0.0
1390,16 jun 2022,46,13,24,37,8,16,9,5,8,0.0,0.0,0.0,0.0,0.0
1391,17 jun 2022,31,8,13,19,1,4,12,7,9,0.0,0.0,0.0,0.0,0.0
1392,18 jun 2022,14,7,9,8,6,7,6,1,2,0.0,0.0,0.0,0.0,0.0
1393,19 jun 2022,12,6,7,9,3,4,3,3,3,0.0,0.0,0.0,0.0,0.0
1394,20 jun 2022,8,5,6,1,1,1,7,4,5,0.0,0.0,0.0,0.0,0.0
1395,21 jun 2022,67,34,45,51,26,34,16,8,11,0.0,0.0,0.0,0.0,0.0
1396,22 jun 2022,25,8,13,16,4,7,9,4,6,0.0,0.0,0.0,0.0,0.0
1397,23 jun 2022,54,19,30,42,14,22,12,5,8,0.0,0.0,0.0,0.0,0.0
1398,24 jun 2022,21,7,14,11,2,7,10,5,7,0.0,0.0,0.0,0.0,0.0
1399,25 jun 2022,32,9,16,16,5,11,16,4,5,0.0,0.0,0.0,0.0,0.0
1400,26 jun 2022,8,5,6,5,3,4,3,2,2,0.0,0.0,0.0,0.0,0.0
1401,27 jun 2022,10,5,9,3,1,3,7,4,6,0.0,0.0,0.0,0.0,0.0
1402,28 jun 2022,59,28,42,46,23,34,13,5,8,0.0,0.0,0.0,0.0,0.0
1403,29 jun 2022,25,11,18,10,4,8,15,7,10,0.0,0.0,0.0,0.0,0.0
1404,30 jun 2022,92,39,60,74,32,46,18,7,14,0.0,0.0,0.0,0.0,0.0
1405,1 jul 2022,27,14,22,20,11,18,7,3,4,0.0,0.0,0.0,0.0,0.0
