Fecha,País,Número de vistas de página
25 mar 2019,Argentina,50
25 mar 2019,India,1
25 mar 2019,Brazil,10
25 mar 2019,China,3
26 mar 2019,Argentina,243
26 mar 2019,Paraguay,1
26 mar 2019,South Korea,1
27 mar 2019,Mexico,4
27 mar 2019,Argentina,53
28 mar 2019,United States,1
28 mar 2019,Poland,4
28 mar 2019,Argentina,114
29 mar 2019,United States,1
29 mar 2019,Argentina,43
30 mar 2019,Argentina,7
31 mar 2019,Argentina,17
1 abr 2019,Paraguay,1
1 abr 2019,Argentina,11
1 abr 2019,United States,1
2 abr 2019,Argentina,9
2 abr 2019,United States,4
2 abr 2019,China,1
3 abr 2019,China,1
3 abr 2019,Argentina,23
3 abr 2019,Italy,2
3 abr 2019,United States,1
4 abr 2019,Argentina,13
4 abr 2019,Mexico,2
5 abr 2019,South Korea,1
5 abr 2019,Argentina,12
6 abr 2019,Argentina,29
6 abr 2019,China,1
6 abr 2019,Peru,2
7 abr 2019,China,1
7 abr 2019,Argentina,36
7 abr 2019,(not set),2
8 abr 2019,(not set),2
8 abr 2019,Argentina,21
9 abr 2019,United States,9
9 abr 2019,Argentina,23
9 abr 2019,South Korea,1
10 abr 2019,(not set),3
10 abr 2019,China,1
10 abr 2019,Argentina,42
11 abr 2019,Paraguay,1
11 abr 2019,Argentina,26
12 abr 2019,Argentina,40
12 abr 2019,Mexico,1
13 abr 2019,Argentina,20
13 abr 2019,United States,3
14 abr 2019,China,1
14 abr 2019,Argentina,14
14 abr 2019,(not set),1
14 abr 2019,United States,2
15 abr 2019,Argentina,23
15 abr 2019,United States,1
15 abr 2019,China,4
16 abr 2019,Argentina,41
16 abr 2019,South Korea,1
16 abr 2019,China,1
16 abr 2019,United States,8
17 abr 2019,Argentina,9
18 abr 2019,Argentina,1
18 abr 2019,Brazil,1
19 abr 2019,South Korea,1
19 abr 2019,Argentina,34
19 abr 2019,China,2
20 abr 2019,United States,8
20 abr 2019,Argentina,7
21 abr 2019,United States,1
21 abr 2019,Argentina,21
22 abr 2019,Brazil,1
22 abr 2019,Argentina,26
22 abr 2019,China,1
23 abr 2019,China,2
23 abr 2019,Brazil,1
23 abr 2019,Argentina,27
24 abr 2019,Argentina,60
24 abr 2019,China,2
25 abr 2019,Argentina,25
25 abr 2019,China,1
26 abr 2019,Argentina,39
26 abr 2019,South Korea,1
27 abr 2019,Argentina,22
28 abr 2019,Bolivia,1
28 abr 2019,China,1
28 abr 2019,Argentina,24
29 abr 2019,China,1
29 abr 2019,Argentina,21
30 abr 2019,Argentina,40
30 abr 2019,Brazil,2
1 may 2019,Argentina,17
2 may 2019,Argentina,60
3 may 2019,Brazil,1
3 may 2019,Argentina,18
4 may 2019,Argentina,31
4 may 2019,China,1
5 may 2019,Argentina,13
6 may 2019,Argentina,33
6 may 2019,Cuba,4
7 may 2019,Paraguay,1
7 may 2019,Argentina,42
7 may 2019,Italy,2
7 may 2019,South Korea,1
7 may 2019,China,1
8 may 2019,Argentina,232
8 may 2019,Sweden,1
8 may 2019,(not set),1
9 may 2019,Hong Kong,1
9 may 2019,France,2
9 may 2019,Argentina,132
10 may 2019,Argentina,174
11 may 2019,Argentina,21
12 may 2019,Argentina,24
12 may 2019,Brazil,4
12 may 2019,United States,8
13 may 2019,Argentina,48
13 may 2019,Mexico,1
14 may 2019,United States,8
14 may 2019,Argentina,47
14 may 2019,South Korea,1
15 may 2019,Colombia,1
15 may 2019,Argentina,17
16 may 2019,Argentina,38
17 may 2019,Argentina,66
17 may 2019,South Korea,1
17 may 2019,Russia,1
18 may 2019,Argentina,10
19 may 2019,Argentina,29
20 may 2019,Argentina,62
21 may 2019,Mexico,1
21 may 2019,Cuba,9
21 may 2019,Argentina,119
21 may 2019,Brazil,2
22 may 2019,Argentina,145
22 may 2019,United States,2
23 may 2019,Ireland,1
23 may 2019,Argentina,34
24 may 2019,Argentina,221
24 may 2019,Bolivia,1
24 may 2019,Brazil,4
24 may 2019,United States,2
24 may 2019,South Korea,1
25 may 2019,Argentina,35
25 may 2019,India,1
25 may 2019,Uruguay,2
26 may 2019,Argentina,16
27 may 2019,United States,1
27 may 2019,Argentina,31
28 may 2019,Argentina,72
28 may 2019,United States,5
29 may 2019,Argentina,25
30 may 2019,Argentina,95
30 may 2019,Cuba,7
31 may 2019,Argentina,80
31 may 2019,Cuba,1
1 jun 2019,Spain,1
1 jun 2019,Colombia,3
1 jun 2019,Argentina,19
2 jun 2019,Argentina,14
2 jun 2019,Germany,1
3 jun 2019,Paraguay,1
3 jun 2019,Argentina,48
4 jun 2019,Uruguay,2
4 jun 2019,Argentina,41
5 jun 2019,Argentina,189
6 jun 2019,Argentina,90
6 jun 2019,Egypt,1
6 jun 2019,South Korea,1
7 jun 2019,France,1
7 jun 2019,Argentina,74
7 jun 2019,Ecuador,1
7 jun 2019,South Korea,1
8 jun 2019,Argentina,51
9 jun 2019,Argentina,27
9 jun 2019,Paraguay,1
9 jun 2019,Cuba,1
10 jun 2019,Argentina,59
11 jun 2019,India,1
11 jun 2019,Ecuador,1
11 jun 2019,South Korea,1
11 jun 2019,Argentina,93
12 jun 2019,Argentina,46
