Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
2 dic 2021,78,39,45,1.0444444444444445,47
3 dic 2021,32,10,14,1.1428571428571428,16
4 dic 2021,19,8,13,1.2307692307692308,16
5 dic 2021,9,3,6,1,6
6 dic 2021,49,16,21,1.0952380952380953,23
7 dic 2021,33,14,18,1,18
8 dic 2021,5,2,3,1,3
9 dic 2021,16,6,9,1,9
10 dic 2021,7,5,6,1,6
11 dic 2021,12,8,10,1.1,11
12 dic 2021,5,2,5,1,5
13 dic 2021,65,21,23,1.434782608695652,33
14 dic 2021,8,3,3,1.3333333333333333,4
15 dic 2021,15,10,12,1.0833333333333333,13
16 dic 2021,5,2,3,1,3
17 dic 2021,6,2,5,1,5
18 dic 2021,7,3,5,1.2,6
19 dic 2021,4,1,2,1,2
20 dic 2021,9,5,7,1,7
21 dic 2021,8,5,5,1.2,6
22 dic 2021,7,2,5,1.4,7
23 dic 2021,8,5,6,1,6
24 dic 2021,5,1,1,2,2
25 dic 2021,4,2,4,1,4
26 dic 2021,1,1,1,1,1
27 dic 2021,12,6,6,1,6
28 dic 2021,1,0,1,1,1
29 dic 2021,9,7,7,1.1428571428571428,8
30 dic 2021,5,3,3,1,3
31 dic 2021,4,4,4,1,4
1 ene 2022,6,5,6,1,6
2 ene 2022,4,4,4,1,4
3 ene 2022,3,3,3,1,3
4 ene 2022,12,8,9,1,9
5 ene 2022,10,3,3,1.3333333333333333,4
6 ene 2022,9,8,9,1,9
7 ene 2022,1,1,1,1,1
8 ene 2022,4,4,4,1,4
9 ene 2022,26,12,14,1,14
10 ene 2022,9,6,7,1,7
11 ene 2022,4,4,4,1,4
12 ene 2022,7,5,5,1,5
13 ene 2022,6,5,5,1,5
14 ene 2022,4,3,3,1,3
15 ene 2022,5,2,3,1,3
16 ene 2022,6,6,6,1,6
17 ene 2022,18,11,11,1,11
18 ene 2022,3,3,3,1,3
19 ene 2022,7,7,7,1,7
20 ene 2022,10,6,7,1.1428571428571428,8
21 ene 2022,12,3,4,1.25,5
22 ene 2022,2,1,2,1,2
23 ene 2022,5,5,5,1,5
24 ene 2022,2,2,2,1,2
25 ene 2022,10,5,6,1,6
26 ene 2022,11,8,8,1,8
27 ene 2022,3,3,3,1,3
28 ene 2022,2,1,2,1,2
29 ene 2022,4,2,4,1,4
30 ene 2022,9,5,6,1.1666666666666667,7
31 ene 2022,4,3,3,1,3
1 feb 2022,10,7,9,1.1111111111111112,10
2 feb 2022,15,10,11,1.0909090909090908,12
3 feb 2022,5,3,3,1,3
4 feb 2022,3,3,3,1,3
5 feb 2022,7,6,7,1,7
6 feb 2022,4,3,4,1,4
7 feb 2022,14,9,9,1,9
8 feb 2022,12,3,5,1.2,6
9 feb 2022,5,5,5,1,5
10 feb 2022,19,13,14,1.0714285714285714,15
11 feb 2022,13,9,10,1.1,11
12 feb 2022,4,1,2,1,2
13 feb 2022,3,3,3,1,3
14 feb 2022,18,12,12,1,12
15 feb 2022,16,11,12,1.0833333333333333,13
16 feb 2022,12,8,9,1,9
17 feb 2022,10,6,7,1,7
18 feb 2022,4,4,4,1,4
19 feb 2022,7,6,6,1,6
20 feb 2022,4,3,3,1,3
21 feb 2022,18,8,9,1.1111111111111112,10
22 feb 2022,11,4,7,1.2857142857142858,9
23 feb 2022,13,8,9,1,9
24 feb 2022,7,5,6,1,6
25 feb 2022,8,5,7,1,7
26 feb 2022,3,2,3,1,3
27 feb 2022,3,3,3,1,3
28 feb 2022,2,2,2,1,2
1 mar 2022,2,1,2,1,2
2 mar 2022,4,3,3,1,3
3 mar 2022,12,9,9,1,9
4 mar 2022,9,8,8,1,8
5 mar 2022,10,4,7,1,7
6 mar 2022,11,7,8,1,8
7 mar 2022,8,3,6,1,6
8 mar 2022,14,6,6,1,6
9 mar 2022,23,14,14,1,14
10 mar 2022,61,24,28,1.1785714285714286,33
11 mar 2022,29,12,15,1.0666666666666667,16
12 mar 2022,34,16,19,1,19
13 mar 2022,6,6,6,1,6
14 mar 2022,45,24,28,1.0714285714285714,30
15 mar 2022,38,12,14,1.0714285714285714,15
16 mar 2022,20,12,15,1,15
17 mar 2022,54,18,24,1.125,27
18 mar 2022,16,7,8,1.375,11
19 mar 2022,29,16,19,1,19
20 mar 2022,14,8,8,1,8
21 mar 2022,38,17,22,1.0909090909090908,24
22 mar 2022,57,27,30,1.1666666666666667,35
23 mar 2022,30,16,19,1.105263157894737,21
24 mar 2022,67,28,28,1,28
25 mar 2022,11,7,9,1,9
26 mar 2022,25,13,15,1,15
27 mar 2022,22,10,12,1,12
28 mar 2022,13,9,11,1,11
29 mar 2022,33,20,22,1.1363636363636365,25
30 mar 2022,44,18,25,1.12,28
31 mar 2022,30,16,19,1.0526315789473684,20
1 abr 2022,22,8,15,1,15
2 abr 2022,15,7,9,1.1111111111111112,10
3 abr 2022,18,8,9,1,9
4 abr 2022,31,12,18,1,18
5 abr 2022,48,20,28,1.1785714285714286,33
6 abr 2022,52,17,22,1,22
7 abr 2022,58,22,31,1.1612903225806452,36
8 abr 2022,27,15,19,1,19
9 abr 2022,19,11,11,1,11
10 abr 2022,7,7,7,1,7
11 abr 2022,22,10,14,1.1428571428571428,16
12 abr 2022,30,16,20,1.05,21
13 abr 2022,7,5,7,1,7
14 abr 2022,5,3,3,1,3
15 abr 2022,2,2,2,1,2
16 abr 2022,35,15,19,1,19
17 abr 2022,9,5,6,1,6
18 abr 2022,16,6,11,1,11
19 abr 2022,29,14,21,1.0952380952380953,23
20 abr 2022,40,15,22,1.1818181818181819,26
21 abr 2022,48,20,26,1.1923076923076923,31
22 abr 2022,30,13,18,1.1111111111111112,20
23 abr 2022,25,6,11,1.0909090909090908,12
24 abr 2022,15,6,7,1,7
25 abr 2022,23,11,13,1,13
26 abr 2022,51,13,15,1,15
27 abr 2022,31,17,23,1.0434782608695652,24
28 abr 2022,28,18,20,1.05,21
29 abr 2022,41,22,26,1.1153846153846154,29
30 abr 2022,51,18,20,1.15,23
1 may 2022,17,4,7,1.1428571428571428,8
2 may 2022,50,11,20,1.3,26
3 may 2022,45,21,30,1.0333333333333334,31
4 may 2022,74,18,25,1.08,27
5 may 2022,65,18,23,1.0434782608695652,24
6 may 2022,27,7,12,1.25,15
7 may 2022,9,7,9,1,9
8 may 2022,11,3,5,1.4,7
9 may 2022,23,12,14,1.0714285714285714,15
10 may 2022,35,15,18,1.0555555555555556,19
11 may 2022,19,10,14,1.1428571428571428,16
12 may 2022,67,22,30,1.1,33
13 may 2022,13,9,11,1,11
14 may 2022,30,18,20,1.05,21
15 may 2022,2,2,2,1,2
16 may 2022,26,9,15,1.2,18
17 may 2022,41,17,27,1.1111111111111112,30
18 may 2022,7,6,7,1,7
19 may 2022,46,22,27,1.0740740740740742,29
20 may 2022,8,3,8,1,8
21 may 2022,11,9,11,1,11
22 may 2022,5,3,4,1.25,5
23 may 2022,53,15,22,1.0454545454545454,23
24 may 2022,21,11,15,1.0666666666666667,16
25 may 2022,11,2,4,1.5,6
26 may 2022,100,47,53,1.0754716981132075,57
27 may 2022,22,10,13,1,13
28 may 2022,39,10,13,1.1538461538461537,15
29 may 2022,4,4,4,1,4
30 may 2022,47,19,22,1.0454545454545454,23
31 may 2022,23,15,18,1,18
1 jun 2022,71,31,37,1.2162162162162162,45
2 jun 2022,30,20,27,1.037037037037037,28
3 jun 2022,35,16,24,1.125,27
4 jun 2022,35,12,17,1.1176470588235294,19
5 jun 2022,17,9,11,1.2727272727272727,14
6 jun 2022,31,5,10,1.1,11
7 jun 2022,33,21,27,1.037037037037037,28
8 jun 2022,43,15,22,1.1818181818181819,26
9 jun 2022,54,26,30,1.1333333333333333,34
10 jun 2022,10,4,9,1,9
11 jun 2022,26,10,11,1.0909090909090908,12
12 jun 2022,30,9,9,1,9
13 jun 2022,40,11,18,1.0555555555555556,19
14 jun 2022,44,18,28,1.1428571428571428,32
15 jun 2022,35,17,23,1.0434782608695652,24
16 jun 2022,46,13,21,1.1428571428571428,24
17 jun 2022,31,8,12,1.0833333333333333,13
18 jun 2022,14,7,9,1,9
19 jun 2022,12,6,7,1,7
20 jun 2022,8,5,6,1,6
21 jun 2022,67,34,40,1.125,45
22 jun 2022,25,8,12,1.0833333333333333,13
23 jun 2022,54,19,23,1.3043478260869565,30
24 jun 2022,21,7,13,1.0769230769230769,14
25 jun 2022,32,9,14,1.1428571428571428,16
26 jun 2022,8,5,6,1,6
27 jun 2022,10,5,7,1.2857142857142858,9
28 jun 2022,59,28,39,1.0769230769230769,42
29 jun 2022,25,11,18,1,18
30 jun 2022,92,39,50,1.2,60
1 jul 2022,27,14,20,1.1,22
2 jul 2022,26,15,16,1,16
3 jul 2022,21,11,11,1,11
4 jul 2022,146,9,14,1.4285714285714286,20
5 jul 2022,22,8,10,1.2,12
6 jul 2022,13,10,12,1,12
7 jul 2022,110,63,71,1.0845070422535212,77
8 jul 2022,26,11,14,1.2857142857142858,18
9 jul 2022,5,3,5,1,5
10 jul 2022,7,3,3,1,3
11 jul 2022,1,0,1,1,1
12 jul 2022,18,10,10,1,10
13 jul 2022,15,8,9,1,9
14 jul 2022,5,3,5,1,5
15 jul 2022,3,3,3,1,3
16 jul 2022,4,3,4,1,4
17 jul 2022,10,7,7,1.1428571428571428,8
18 jul 2022,16,4,4,1,4
19 jul 2022,7,2,4,1,4
20 jul 2022,14,8,8,1.125,9
21 jul 2022,7,7,7,1,7
22 jul 2022,13,10,10,1.1,11
23 jul 2022,16,8,8,1,8
24 jul 2022,3,3,3,1,3
25 jul 2022,12,6,6,1.1666666666666667,7
26 jul 2022,3,3,3,1,3
27 jul 2022,17,7,12,1,12
28 jul 2022,50,16,18,1.0555555555555556,19
29 jul 2022,10,8,9,1,9
30 jul 2022,5,4,4,1,4
31 jul 2022,4,4,4,1,4
1 ago 2022,35,13,17,1.1764705882352942,20
2 ago 2022,36,12,21,1.1904761904761905,25
3 ago 2022,67,21,34,1.1764705882352942,40
4 ago 2022,40,19,24,1,24
5 ago 2022,19,15,15,1,15
6 ago 2022,9,7,7,1,7
