Fecha,Agrupación de canales predeterminada,Número de vistas de página
8 feb 2019,Direct,7
9 feb 2019,Direct,6
9 feb 2019,Social,3
9 feb 2019,Organic Search,8
10 feb 2019,Social,1
10 feb 2019,Direct,10
10 feb 2019,Organic Search,1
11 feb 2019,Organic Search,6
11 feb 2019,Social,4
11 feb 2019,Direct,11
12 feb 2019,Direct,11
12 feb 2019,Organic Search,9
12 feb 2019,Social,3
13 feb 2019,Organic Search,3
13 feb 2019,Direct,9
14 feb 2019,Direct,4
14 feb 2019,Social,1
14 feb 2019,Organic Search,11
15 feb 2019,Social,1
15 feb 2019,Direct,14
15 feb 2019,Organic Search,6
16 feb 2019,Organic Search,9
16 feb 2019,Direct,5
17 feb 2019,Direct,1
17 feb 2019,Social,2
17 feb 2019,Referral,4
17 feb 2019,Organic Search,5
18 feb 2019,Organic Search,16
18 feb 2019,Direct,15
19 feb 2019,Organic Search,7
19 feb 2019,Direct,7
20 feb 2019,Organic Search,11
20 feb 2019,Direct,9
21 feb 2019,Direct,7
21 feb 2019,Organic Search,13
22 feb 2019,Social,1
22 feb 2019,Organic Search,7
22 feb 2019,Direct,8
23 feb 2019,Direct,4
23 feb 2019,Social,3
23 feb 2019,Organic Search,7
24 feb 2019,Organic Search,1
24 feb 2019,Direct,3
25 feb 2019,Direct,20
25 feb 2019,Organic Search,4
26 feb 2019,Organic Search,3
26 feb 2019,Direct,15
26 feb 2019,Social,1
27 feb 2019,Direct,3
27 feb 2019,Organic Search,5
28 feb 2019,Direct,7
28 feb 2019,Social,1
28 feb 2019,Organic Search,16
1 mar 2019,Organic Search,4
1 mar 2019,Direct,2
2 mar 2019,Direct,2
2 mar 2019,Organic Search,23
3 mar 2019,Direct,5
4 mar 2019,Organic Search,12
4 mar 2019,Direct,1
5 mar 2019,Direct,4
5 mar 2019,Organic Search,7
6 mar 2019,Direct,15
6 mar 2019,Organic Search,9
6 mar 2019,Social,1
7 mar 2019,Referral,5
7 mar 2019,Social,1
7 mar 2019,Organic Search,7
7 mar 2019,Direct,8
8 mar 2019,Social,1
8 mar 2019,Organic Search,4
8 mar 2019,Direct,5
9 mar 2019,Direct,7
9 mar 2019,Organic Search,24
10 mar 2019,Direct,5
10 mar 2019,Referral,1
11 mar 2019,Direct,18
11 mar 2019,Organic Search,17
12 mar 2019,Organic Search,8
12 mar 2019,Social,2
12 mar 2019,Direct,18
13 mar 2019,Direct,8
13 mar 2019,Organic Search,19
14 mar 2019,Referral,1
14 mar 2019,Organic Search,12
14 mar 2019,Direct,7
15 mar 2019,Referral,2
15 mar 2019,Organic Search,26
15 mar 2019,Social,2
15 mar 2019,Direct,10
16 mar 2019,Social,3
16 mar 2019,Direct,3
16 mar 2019,Organic Search,14
17 mar 2019,Direct,1
17 mar 2019,Organic Search,5
17 mar 2019,Social,1
18 mar 2019,Direct,6
18 mar 2019,Organic Search,18
18 mar 2019,Social,4
19 mar 2019,Direct,7
19 mar 2019,Organic Search,4
20 mar 2019,Organic Search,32
