Fecha,Sistema operativo,Número de vistas de página
17 jun 2019,Android,34
18 jun 2019,Linux,3
18 jun 2019,Windows,46
18 jun 2019,iOS,3
18 jun 2019,Android,47
18 jun 2019,Macintosh,2
19 jun 2019,Macintosh,1
19 jun 2019,Windows,23
19 jun 2019,Android,17
19 jun 2019,iOS,2
20 jun 2019,Windows,3
20 jun 2019,Android,9
21 jun 2019,iOS,2
21 jun 2019,Windows,37
21 jun 2019,Linux,2
21 jun 2019,Android,47
21 jun 2019,Macintosh,5
22 jun 2019,Windows,16
22 jun 2019,Android,22
23 jun 2019,Windows,10
23 jun 2019,Android,4
24 jun 2019,Windows,18
24 jun 2019,Android,8
24 jun 2019,Linux,3
25 jun 2019,Windows,27
25 jun 2019,Android,18
25 jun 2019,iOS,2
25 jun 2019,Macintosh,16
26 jun 2019,iOS,7
26 jun 2019,Macintosh,3
26 jun 2019,Android,35
26 jun 2019,Windows,46
26 jun 2019,Linux,11
27 jun 2019,Android,19
27 jun 2019,Linux,2
27 jun 2019,iOS,1
27 jun 2019,Windows,28
28 jun 2019,Windows,45
28 jun 2019,iOS,2
28 jun 2019,Android,24
29 jun 2019,Macintosh,11
