,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,Linux,iOS,Macintosh,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Referral,Socials,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
50,23 ene 2024,19,7,9,1.0,9,18,1,8,11,0,6.333333333333332,4.642796092394708,8,11,0,0,0,0,2.7142857142857144,4.365916225696036,16,3,0,0,4.75,6.609652033201143
51,24 ene 2024,8,2,3,1.0,3,7,1,6,2,0,2.6666666666666665,2.494438257849294,6,2,0,0,0,0,1.1428571428571428,2.099562636671296,8,0,0,0,2.0,3.4641016151377544
52,25 ene 2024,3,0,1,1.0,1,3,0,0,3,0,1.0,1.4142135623730951,0,0,3,0,0,0,0.42857142857142855,1.049781318335648,3,0,0,0,0.75,1.299038105676658
53,26 ene 2024,18,5,7,1.1666666666666667,7,15,3,3,15,0,6.0,6.4807406984078595,3,13,1,0,1,0,2.571428571428572,4.370588154508101,13,4,1,0,4.5,5.123475382979799
54,27 ene 2024,29,2,7,1.1428571428571428,8,29,0,9,20,0,9.666666666666666,8.178562764256865,9,20,0,0,0,0,4.142857142857143,7.179903927502322,29,0,0,0,7.25,12.557368354874361
55,28 ene 2024,14,4,9,1.25,10,11,3,8,6,0,4.666666666666667,3.39934634239519,8,4,0,0,2,0,2.0,2.8284271247461903,8,6,0,0,3.5,3.570714214271425
56,29 ene 2024,19,4,7,1.3333333333333333,8,18,1,1,18,0,6.333333333333332,8.259674462242579,1,17,1,0,0,0,2.7142857142857144,5.848425568702493,11,3,1,4,4.75,3.7666297933298414
57,30 ene 2024,5,5,6,1.2,6,3,2,4,1,0,1.6666666666666667,1.699673171197595,3,1,0,1,0,0,0.7142857142857143,1.0301575072754257,3,2,0,0,1.25,1.299038105676658
58,31 ene 2024,12,4,4,1.0,4,6,6,2,10,0,4.0,4.320493798938574,0,7,3,2,0,0,1.7142857142857142,2.4327694808466287,11,1,0,0,3.0,4.636809247747852
59,1 feb 2024,4,2,4,1.3333333333333333,4,2,2,3,1,0,1.3333333333333333,1.247219128924647,3,1,0,0,0,0,0.5714285714285714,1.049781318335648,2,2,0,0,1.0,1.0
60,2 feb 2024,10,5,8,1.125,9,9,1,3,7,0,3.333333333333333,2.867441755680876,3,7,0,0,0,0,1.4285714285714286,2.4989793835051284,7,2,0,1,2.5,2.6925824035672523
61,3 feb 2024,16,6,12,1.0,12,14,2,9,7,0,5.333333333333333,3.858612300930076,9,7,0,0,0,0,2.2857142857142856,3.653346243584121,10,4,2,0,4.0,3.741657386773941
62,4 feb 2024,8,2,4,1.0,4,7,1,3,5,0,2.6666666666666665,2.0548046676563256,3,4,0,0,1,0,1.1428571428571428,1.5518257844571737,3,4,1,0,2.0,1.5811388300841898
63,5 feb 2024,52,6,7,1.5714285714285714,11,36,16,11,41,0,17.333333333333332,17.326921891156033,11,41,0,0,0,0,7.428571428571429,14.221283273994073,15,37,0,0,13.0,15.149257407543116
