,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,mobile,desktop,tablet,smart tv,Categoría de dispositivo promedio,Categoría de dispositivo std,Android,Windows,iOS,Macintosh,Linux,Tizen,Windows Phone,Playstation 4,Sistema operativo (not set),Sistema operativo promedio,Sistema operativo std,Organic Search,Direct,Social,Referral,Organic Video,Unassigned,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
71,24 ago 2022,102,32,34,1.3636363636363635,45,101,1,87,15,0,0,25.5,36.03123644839294,87,13,0,0,2,0,0,0,0,11.333333333333336,27.05139142036464,21.0,80.0,1.0,0.0,0.0,0.0,17.0,29.17761699202547
72,25 ago 2022,45,15,22,1.4444444444444444,26,41,4,21,24,0,0,11.25,11.299889379989526,21,21,0,0,3,0,0,0,0,5.0,8.602325267042627,25.0,12.0,7.0,1.0,0.0,0.0,7.5,8.958236433584457
73,26 ago 2022,28,10,15,1.3333333333333333,16,28,0,13,15,0,0,7.0,7.035623639735143,10,15,2,0,0,1,0,0,0,3.111111111111111,5.194964323360427,15.0,9.0,3.0,1.0,0.0,0.0,4.666666666666667,5.557777333511021
74,27 ago 2022,28,8,11,1.2,12,26,2,11,17,0,0,7.0,7.314369419163897,11,17,0,0,0,0,0,0,0,3.111111111111111,5.989703098641579,20.0,5.0,3.0,0.0,0.0,0.0,4.666666666666667,7.110243002567182
75,28 ago 2022,26,14,16,1.2,18,21,5,10,16,0,0,6.5,6.837397165588674,9,16,1,0,0,0,0,0,0,2.888888888888889,5.404616225340137,2.0,23.0,1.0,0.0,0.0,0.0,4.333333333333333,8.379870059984357
76,29 ago 2022,49,10,12,1.181818181818182,13,46,3,8,41,0,0,12.25,16.917077170717167,8,41,0,0,0,0,0,0,0,5.4444444444444455,12.81588520470775,9.0,39.0,1.0,0.0,0.0,0.0,8.166666666666666,14.158821357098274
77,30 ago 2022,89,8,12,1.3333333333333333,16,89,0,5,84,0,0,22.25,35.709767571352245,4,71,1,0,13,0,0,0,0,9.888888888888891,21.976980100118123,15.0,74.0,0.0,0.0,0.0,0.0,14.833333333333336,27.021082304172953
78,31 ago 2022,22,4,7,1.3333333333333333,8,7,15,0,22,0,0,5.5,9.526279441628825,0,22,0,0,0,0,0,0,0,2.4444444444444446,6.913932971601797,19.0,3.0,0.0,0.0,0.0,0.0,3.6666666666666665,6.944222218666552
79,1 sept 2022,17,8,11,1.0909090909090908,12,17,0,5,12,0,0,4.25,4.9180788932265,5,6,0,0,6,0,0,0,0,1.8888888888888888,2.6851213274654597,2.0,11.0,4.0,0.0,0.0,0.0,2.833333333333333,3.933474573735316
80,2 sept 2022,31,5,6,2.0,12,30,1,13,18,0,0,7.75,7.949056547792322,13,18,0,0,0,0,0,0,0,3.4444444444444446,6.550845765770522,5.0,8.0,18.0,0.0,0.0,0.0,5.166666666666667,6.491447364716816
81,3 sept 2022,22,8,9,1.375,11,22,0,5,17,0,0,5.5,6.946221994724902,5,17,0,0,0,0,0,0,0,2.4444444444444446,5.3771349478057155,7.0,13.0,2.0,0.0,0.0,0.0,3.6666666666666665,4.853406592853679
82,4 sept 2022,4,1,3,2.0,4,4,0,2,2,0,0,1.0,1.0,2,2,0,0,0,0,0,0,0,0.4444444444444444,0.8314794192830981,0.0,3.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.1055415967851332
83,5 sept 2022,26,9,12,1.0833333333333333,13,20,6,13,13,0,0,6.5,6.5,13,10,0,1,2,0,0,0,0,2.888888888888889,4.700932400290261,7.0,7.0,12.0,0.0,0.0,0.0,4.333333333333333,4.642796092394708
84,6 sept 2022,45,16,18,1.3333333333333333,24,42,3,29,16,0,0,11.25,12.152674602736633,15,16,14,0,0,0,0,0,0,5.0,7.086763875156432,8.0,16.0,21.0,0.0,0.0,0.0,7.5,8.401388774085707
85,7 sept 2022,45,18,24,1.391304347826087,32,42,3,34,11,0,0,11.25,13.88119231190174,31,9,3,1,1,0,0,0,0,5.0,9.591663046625438,9.0,28.0,8.0,0.0,0.0,0.0,7.5,9.928914005737653
86,8 sept 2022,72,21,30,1.4230769230769231,37,67,5,27,45,0,0,18.0,19.091883092036785,26,41,1,0,4,0,0,0,0,8.0,14.134276698076127,51.0,17.0,4.0,0.0,0.0,0.0,12.0,18.44812546936228
87,9 sept 2022,26,11,16,1.2857142857142858,18,25,1,11,15,0,0,6.5,6.652067347825035,11,15,0,0,0,0,0,0,0,2.888888888888889,5.486234175834892,8.0,13.0,5.0,0.0,0.0,0.0,4.333333333333333,4.921607686744467
88,10 sept 2022,34,11,18,1.2666666666666666,19,29,5,23,11,0,0,8.5,9.5,23,11,0,0,0,0,0,0,0,3.7777777777777777,7.612530281315839,10.0,12.0,12.0,0.0,0.0,0.0,5.666666666666668,5.7057475895412315
89,11 sept 2022,7,5,5,1.0,5,7,0,4,3,0,0,1.75,1.7853571071357126,3,3,1,0,0,0,0,0,0,0.7777777777777778,1.227262335243029,3.0,2.0,1.0,1.0,0.0,0.0,1.1666666666666667,1.0671873729054748
90,12 sept 2022,13,8,12,1.2,12,11,2,8,5,0,0,3.25,3.418698582794337,8,4,0,1,0,0,0,0,0,1.4444444444444444,2.6293687924887177,5.0,7.0,1.0,0.0,0.0,0.0,2.1666666666666665,2.793842435706702
91,13 sept 2022,39,13,16,1.3571428571428572,19,33,6,13,26,0,0,9.75,10.779030568655047,10,26,3,0,0,0,0,0,0,4.333333333333333,8.273115763993905,26.0,9.0,3.0,1.0,0.0,0.0,6.5,9.251126057585278
92,14 sept 2022,19,12,15,1.1333333333333333,17,15,4,9,10,0,0,4.75,4.763139720814412,9,10,0,0,0,0,0,0,0,2.1111111111111107,3.956554181058857,13.0,3.0,2.0,1.0,0.0,0.0,3.1666666666666665,4.524623986832742
93,15 sept 2022,72,31,36,1.1142857142857143,39,69,3,38,34,0,0,18.0,18.05547008526779,36,33,2,1,0,0,0,0,0,8.0,14.197026292697904,19.0,51.0,2.0,0.0,0.0,0.0,12.0,18.717193521821944
94,16 sept 2022,22,10,16,1.3076923076923077,17,21,1,18,4,0,0,5.5,7.399324293474371,17,3,1,1,0,0,0,0,0,2.4444444444444446,5.230489909306588,8.0,10.0,4.0,0.0,0.0,0.0,3.6666666666666665,4.068851871911233
95,17 sept 2022,17,9,9,1.0,9,16,1,15,2,0,0,4.25,6.2599920127744575,15,2,0,0,0,0,0,0,0,1.8888888888888888,4.6772367066331535,9.0,7.0,0.0,1.0,0.0,0.0,2.833333333333333,3.7155828016013257
96,18 sept 2022,4,2,3,2.5,5,2,2,2,0,2,0,1.0,1.0,3,0,1,0,0,0,0,0,0,0.4444444444444444,0.955813918560292,0.0,4.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.4907119849998596
97,19 sept 2022,33,13,18,1.2352941176470589,21,29,4,14,19,0,0,8.25,8.437268515343103,5,19,9,0,0,0,0,0,0,3.6666666666666665,6.200358412579425,12.0,16.0,4.0,1.0,0.0,0.0,5.5,6.264982043070834
98,20 sept 2022,36,14,16,1.2,18,33,3,12,24,0,0,9.0,9.9498743710662,12,23,0,1,0,0,0,0,0,4.0,7.6739096221475585,6.0,20.0,8.0,2.0,0.0,0.0,6.0,6.92820323027551
99,21 sept 2022,50,15,21,1.2105263157894737,23,50,0,41,9,0,0,12.5,16.859715300087366,40,9,1,0,0,0,0,0,0,5.5555555555555545,12.490984403081475,3.0,47.0,0.0,0.0,0.0,0.0,8.333333333333334,17.326921891156033
100,22 sept 2022,7,6,7,1.3333333333333333,8,5,2,4,3,0,0,1.75,1.7853571071357126,4,3,0,0,0,0,0,0,0,0.7777777777777778,1.4740554623801776,3.0,4.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.674979270186815
101,23 sept 2022,6,3,5,1.6666666666666667,5,4,2,3,3,0,0,1.5,1.5,3,3,0,0,0,0,0,0,0,0.6666666666666666,1.247219128924647,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.1547005383792517
102,24 sept 2022,4,2,3,2.0,4,3,1,4,0,0,0,1.0,1.7320508075688772,4,0,0,0,0,0,0,0,0,0.4444444444444444,1.2570787221094182,1.0,3.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.1055415967851332
103,25 sept 2022,15,4,6,1.75,7,14,1,10,5,0,0,3.75,4.14578098794425,3,5,7,0,0,0,0,0,0,1.6666666666666667,2.5385910352879693,1.0,6.0,7.0,1.0,0.0,0.0,2.5,2.8722813232690143
104,26 sept 2022,45,18,20,1.1052631578947372,21,42,3,34,11,0,0,11.25,13.88119231190174,31,11,3,0,0,0,0,0,0,5.0,9.809292646374775,28.0,9.0,7.0,1.0,0.0,0.0,7.5,9.810708435174293
105,27 sept 2022,15,13,15,1.1428571428571428,16,14,1,2,13,0,0,3.75,5.402545696243577,2,13,0,0,0,0,0,0,0,1.6666666666666667,4.0551750201988135,2.0,13.0,0.0,0.0,0.0,0.0,2.5,4.752192476461084
106,28 sept 2022,61,19,28,1.148148148148148,31,56,5,33,28,0,0,15.25,15.352117117844038,33,25,0,3,0,0,0,0,0,6.777777777777778,12.062593951530747,25.0,35.0,1.0,0.0,0.0,0.0,10.166666666666666,14.322670452429216
