Fecha,Grupo de canales predeterminado de la sesión,Vistas
22 ene 2023,Referral,1
23 ene 2023,Organic Search,1
24 ene 2023,Direct,3
24 ene 2023,Organic Search,2
25 ene 2023,Organic Search,3
25 ene 2023,Direct,1
26 ene 2023,Organic Search,2
26 ene 2023,Organic Social,2
26 ene 2023,Direct,1
27 ene 2023,Direct,6
27 ene 2023,Organic Search,2
28 ene 2023,Direct,2
29 ene 2023,Direct,1
29 ene 2023,Organic Search,1
30 ene 2023,Organic Search,5
30 ene 2023,Direct,4
31 ene 2023,Direct,10
31 ene 2023,Organic Search,1
1 feb 2023,Direct,1
2 feb 2023,Organic Search,4
2 feb 2023,Direct,3
2 feb 2023,Referral,1
3 feb 2023,Organic Search,6
3 feb 2023,Direct,2
4 feb 2023,Organic Search,3
4 feb 2023,Direct,2
5 feb 2023,Direct,1
5 feb 2023,Referral,1
6 feb 2023,Organic Search,7
6 feb 2023,Direct,3
7 feb 2023,Direct,12
7 feb 2023,Organic Social,3
7 feb 2023,Organic Search,2
8 feb 2023,Direct,7
8 feb 2023,Organic Search,2
9 feb 2023,Organic Search,6
9 feb 2023,Direct,1
9 feb 2023,Organic Social,1
10 feb 2023,Direct,7
10 feb 2023,Organic Search,1
11 feb 2023,Direct,4
12 feb 2023,Organic Search,6
12 feb 2023,Direct,2
13 feb 2023,Organic Search,10
14 feb 2023,Organic Search,12
14 feb 2023,Direct,9
15 feb 2023,Direct,9
15 feb 2023,Organic Search,2
15 feb 2023,Organic Social,2
16 feb 2023,Organic Search,10
16 feb 2023,Direct,5
16 feb 2023,Referral,1
17 feb 2023,Organic Search,19
17 feb 2023,Direct,7
17 feb 2023,Organic Social,3
18 feb 2023,Organic Search,1
19 feb 2023,Direct,1
20 feb 2023,Organic Search,2
20 feb 2023,Organic Social,1
21 feb 2023,Organic Search,3
21 feb 2023,Direct,1
22 feb 2023,Direct,10
22 feb 2023,Organic Social,1
23 feb 2023,Direct,8
23 feb 2023,Organic Search,4
24 feb 2023,Direct,4
24 feb 2023,Organic Search,3
25 feb 2023,Direct,11
25 feb 2023,Organic Search,1
25 feb 2023,Referral,1
26 feb 2023,Direct,14
26 feb 2023,Organic Search,1
27 feb 2023,Direct,16
27 feb 2023,Organic Search,13
27 feb 2023,Organic Social,1
28 feb 2023,Organic Search,18
28 feb 2023,Direct,17
28 feb 2023,Organic Social,6
1 mar 2023,Direct,23
1 mar 2023,Organic Social,13
1 mar 2023,Organic Search,6
1 mar 2023,Organic Video,1
2 mar 2023,Direct,29
2 mar 2023,Organic Search,9
2 mar 2023,Referral,1
3 mar 2023,Direct,20
3 mar 2023,Organic Search,18
3 mar 2023,Organic Video,1
4 mar 2023,Organic Search,6
4 mar 2023,Direct,5
5 mar 2023,Direct,13
5 mar 2023,Organic Search,3
6 mar 2023,Direct,16
6 mar 2023,Organic Search,12
6 mar 2023,Organic Social,3
7 mar 2023,Organic Search,11
7 mar 2023,Direct,8
8 mar 2023,Organic Search,17
8 mar 2023,Organic Social,7
8 mar 2023,Direct,5
9 mar 2023,Organic Search,7
9 mar 2023,Direct,5
10 mar 2023,Organic Search,14
10 mar 2023,Direct,8
10 mar 2023,Organic Social,3
11 mar 2023,Organic Search,8
11 mar 2023,Direct,3
12 mar 2023,Direct,7
12 mar 2023,Organic Search,1
13 mar 2023,Organic Search,11
13 mar 2023,Direct,6
13 mar 2023,Organic Social,3
14 mar 2023,Organic Search,14
14 mar 2023,Direct,1
14 mar 2023,Organic Social,1
14 mar 2023,Referral,1
15 mar 2023,Organic Search,21
15 mar 2023,Direct,15
15 mar 2023,Organic Social,13
15 mar 2023,Unassigned,0
16 mar 2023,Direct,24
16 mar 2023,Organic Search,8
16 mar 2023,Organic Social,4
17 mar 2023,Direct,11
17 mar 2023,Organic Search,8
17 mar 2023,Organic Social,4
17 mar 2023,Referral,1
18 mar 2023,Direct,16
18 mar 2023,Organic Search,9
18 mar 2023,Organic Social,4
19 mar 2023,Direct,10
19 mar 2023,Organic Search,2
19 mar 2023,Organic Social,1
20 mar 2023,Organic Search,21
20 mar 2023,Direct,8
20 mar 2023,Organic Social,1
20 mar 2023,Unassigned,0
21 mar 2023,Direct,14
21 mar 2023,Organic Search,13
21 mar 2023,Unassigned,0
22 mar 2023,Organic Search,16
22 mar 2023,Direct,7
22 mar 2023,Organic Social,1
23 mar 2023,Direct,10
23 mar 2023,Organic Search,10
24 mar 2023,Organic Search,3
24 mar 2023,Direct,2
25 mar 2023,Direct,6
25 mar 2023,Organic Search,4
25 mar 2023,Unassigned,0
26 mar 2023,Direct,10
26 mar 2023,Organic Search,2
26 mar 2023,Organic Social,2
27 mar 2023,Direct,6
27 mar 2023,Organic Search,2
27 mar 2023,Organic Social,1
28 mar 2023,Direct,8
28 mar 2023,Organic Search,8
28 mar 2023,Organic Social,1
28 mar 2023,Referral,1
29 mar 2023,Direct,19
29 mar 2023,Organic Search,5
29 mar 2023,Organic Social,2
29 mar 2023,Referral,1
30 mar 2023,Direct,9
30 mar 2023,Organic Search,8
30 mar 2023,Organic Social,2
31 mar 2023,Direct,91
31 mar 2023,Organic Search,6
31 mar 2023,Organic Social,2
1 abr 2023,Direct,21
1 abr 2023,Organic Search,1
2 abr 2023,Direct,8
2 abr 2023,Organic Search,4
2 abr 2023,Organic Social,3
3 abr 2023,Organic Search,10
3 abr 2023,Organic Social,8
3 abr 2023,Direct,6
4 abr 2023,Direct,18
4 abr 2023,Organic Search,9
4 abr 2023,Organic Social,3
5 abr 2023,Direct,8
5 abr 2023,Organic Search,5
6 abr 2023,Organic Search,7
6 abr 2023,Direct,3
7 abr 2023,Direct,5
7 abr 2023,Organic Search,3
7 abr 2023,Referral,1
8 abr 2023,Direct,7
8 abr 2023,Organic Search,6
9 abr 2023,Direct,11
9 abr 2023,Organic Search,8
10 abr 2023,Organic Search,3
10 abr 2023,Direct,2
11 abr 2023,Direct,3
11 abr 2023,Organic Search,2
11 abr 2023,Organic Social,1
12 abr 2023,Organic Search,41
12 abr 2023,Direct,16
12 abr 2023,Organic Social,1
13 abr 2023,Direct,17
13 abr 2023,Organic Social,7
13 abr 2023,Organic Search,6
13 abr 2023,Unassigned,0
14 abr 2023,Direct,7
14 abr 2023,Organic Search,6
14 abr 2023,Organic Social,5
14 abr 2023,Unassigned,0
15 abr 2023,Direct,8
15 abr 2023,Organic Search,1
15 abr 2023,Referral,1
16 abr 2023,Direct,11
16 abr 2023,Organic Search,3
16 abr 2023,Organic Social,3
16 abr 2023,Unassigned,0
17 abr 2023,Direct,12
17 abr 2023,Organic Search,9
17 abr 2023,Referral,1
18 abr 2023,Organic Search,15
18 abr 2023,Organic Social,6
18 abr 2023,Direct,2
19 abr 2023,Direct,15
19 abr 2023,Organic Search,6
19 abr 2023,Organic Social,1
20 abr 2023,Direct,25
20 abr 2023,Organic Search,16
21 abr 2023,Direct,17
21 abr 2023,Organic Search,5
21 abr 2023,Organic Social,5
22 abr 2023,Direct,31
22 abr 2023,Organic Search,9
23 abr 2023,Direct,35
23 abr 2023,Organic Social,9
23 abr 2023,Organic Search,8
24 abr 2023,Organic Search,15
24 abr 2023,Direct,8
24 abr 2023,Organic Social,4
25 abr 2023,Direct,7
25 abr 2023,Organic Search,4
26 abr 2023,Direct,26
26 abr 2023,Organic Search,14
26 abr 2023,Organic Social,1
27 abr 2023,Direct,66
27 abr 2023,Organic Search,20
27 abr 2023,Organic Social,2
27 abr 2023,Organic Video,1
28 abr 2023,Direct,14
28 abr 2023,Organic Search,9
28 abr 2023,Organic Social,4
29 abr 2023,Organic Search,37
29 abr 2023,Direct,4
29 abr 2023,Organic Social,1
30 abr 2023,Organic Search,28
30 abr 2023,Direct,3
1 may 2023,Organic Search,12
1 may 2023,Direct,2
2 may 2023,Organic Search,33
2 may 2023,Direct,27
2 may 2023,Organic Social,4
3 may 2023,Organic Search,55
3 may 2023,Direct,41
3 may 2023,Organic Social,12
3 may 2023,Unassigned,0
4 may 2023,Direct,42
4 may 2023,Organic Search,42
4 may 2023,Organic Social,3
5 may 2023,Organic Search,36
5 may 2023,Direct,7
6 may 2023,Organic Search,54
6 may 2023,Direct,33
6 may 2023,Organic Social,7
7 may 2023,Referral,1
7 may 2023,Organic Search,14
7 may 2023,Organic Social,2
7 may 2023,Direct,20
8 may 2023,Direct,32
8 may 2023,Organic Search,25
8 may 2023,Organic Social,9
8 may 2023,Referral,1
9 may 2023,Direct,27
9 may 2023,Organic Search,23
9 may 2023,Organic Social,3
9 may 2023,Referral,1
10 may 2023,Organic Search,38
10 may 2023,Direct,28
10 may 2023,Organic Social,10
11 may 2023,Direct,36
11 may 2023,Organic Search,35
11 may 2023,Organic Social,13
11 may 2023,Unassigned,1
12 may 2023,Organic Search,32
12 may 2023,Direct,18
12 may 2023,Referral,4
12 may 2023,Organic Social,2
