Fecha,Categoría de dispositivo,Vistas
14 may 2023,tablet,1
15 may 2023,mobile,20
15 may 2023,desktop,16
16 may 2023,mobile,85
16 may 2023,desktop,19
16 may 2023,tablet,1
17 may 2023,mobile,49
17 may 2023,desktop,23
18 may 2023,mobile,77
18 may 2023,desktop,23
18 may 2023,tablet,8
19 may 2023,mobile,50
19 may 2023,desktop,20
20 may 2023,mobile,99
20 may 2023,desktop,10
21 may 2023,mobile,36
21 may 2023,desktop,2
21 may 2023,tablet,1
22 may 2023,mobile,52
22 may 2023,desktop,13
23 may 2023,mobile,48
23 may 2023,desktop,30
24 may 2023,mobile,41
24 may 2023,desktop,21
25 may 2023,desktop,20
25 may 2023,mobile,19
25 may 2023,tablet,1
26 may 2023,mobile,8
26 may 2023,desktop,1
29 may 2023,mobile,25
29 may 2023,desktop,24
29 may 2023,tablet,1
30 may 2023,mobile,35
30 may 2023,desktop,27
31 may 2023,mobile,27
31 may 2023,desktop,10
1 jun 2023,mobile,57
1 jun 2023,desktop,21
2 jun 2023,mobile,37
2 jun 2023,desktop,19
3 jun 2023,mobile,99
3 jun 2023,desktop,14
4 jun 2023,mobile,44
4 jun 2023,desktop,12
4 jun 2023,tablet,1
5 jun 2023,mobile,29
5 jun 2023,desktop,20
5 jun 2023,tablet,1
6 jun 2023,desktop,32
6 jun 2023,mobile,32
7 jun 2023,desktop,29
7 jun 2023,mobile,18
8 jun 2023,mobile,49
8 jun 2023,desktop,26
9 jun 2023,mobile,24
9 jun 2023,desktop,8
10 jun 2023,mobile,42
10 jun 2023,desktop,16
11 jun 2023,desktop,17
11 jun 2023,mobile,16
11 jun 2023,tablet,2
12 jun 2023,desktop,28
12 jun 2023,mobile,15
12 jun 2023,tablet,1
13 jun 2023,mobile,31
13 jun 2023,desktop,26
14 jun 2023,desktop,47
14 jun 2023,mobile,34
14 jun 2023,smart tv,1
15 jun 2023,mobile,42
15 jun 2023,desktop,32
16 jun 2023,mobile,11
16 jun 2023,desktop,2
21 jun 2023,mobile,33
21 jun 2023,desktop,24
22 jun 2023,desktop,15
22 jun 2023,mobile,6
23 jun 2023,mobile,94
23 jun 2023,desktop,29
23 jun 2023,tablet,1
24 jun 2023,mobile,31
24 jun 2023,desktop,17
25 jun 2023,mobile,17
25 jun 2023,desktop,7
26 jun 2023,desktop,18
26 jun 2023,mobile,14
27 jun 2023,mobile,33
27 jun 2023,desktop,24
28 jun 2023,desktop,21
28 jun 2023,mobile,16
29 jun 2023,desktop,31
29 jun 2023,mobile,21
30 jun 2023,desktop,40
30 jun 2023,mobile,20
1 jul 2023,mobile,30
1 jul 2023,desktop,8
2 jul 2023,desktop,12
2 jul 2023,mobile,6
3 jul 2023,desktop,143
3 jul 2023,mobile,14
4 jul 2023,desktop,87
4 jul 2023,mobile,23
5 jul 2023,desktop,32
5 jul 2023,mobile,21
6 jul 2023,mobile,35
6 jul 2023,desktop,18
7 jul 2023,mobile,17
7 jul 2023,desktop,14
7 jul 2023,smart tv,1
8 jul 2023,mobile,26
8 jul 2023,desktop,18
9 jul 2023,mobile,21
10 jul 2023,mobile,13
10 jul 2023,desktop,5
11 jul 2023,desktop,21
11 jul 2023,mobile,17
12 jul 2023,mobile,9
12 jul 2023,desktop,6
13 jul 2023,desktop,25
13 jul 2023,mobile,6
14 jul 2023,desktop,11
14 jul 2023,mobile,6
15 jul 2023,mobile,25
15 jul 2023,desktop,18
16 jul 2023,mobile,53
16 jul 2023,desktop,4
17 jul 2023,mobile,12
17 jul 2023,desktop,10
18 jul 2023,mobile,20
18 jul 2023,desktop,15
19 jul 2023,desktop,8
19 jul 2023,mobile,1
20 jul 2023,desktop,8
20 jul 2023,mobile,5
21 jul 2023,desktop,3
21 jul 2023,mobile,2
22 jul 2023,mobile,16
22 jul 2023,desktop,10
23 jul 2023,mobile,19
23 jul 2023,desktop,4
24 jul 2023,mobile,40
24 jul 2023,desktop,34
25 jul 2023,desktop,37
25 jul 2023,mobile,23
25 jul 2023,smart tv,1
26 jul 2023,desktop,30
26 jul 2023,mobile,24
26 jul 2023,tablet,1
27 jul 2023,desktop,49
27 jul 2023,mobile,14
28 jul 2023,desktop,19
28 jul 2023,mobile,14
29 jul 2023,mobile,49
29 jul 2023,desktop,17
30 jul 2023,mobile,22
30 jul 2023,desktop,16
31 jul 2023,mobile,48
31 jul 2023,desktop,22
1 ago 2023,mobile,142
1 ago 2023,desktop,73
2 ago 2023,mobile,88
2 ago 2023,desktop,30
3 ago 2023,mobile,25
3 ago 2023,desktop,18
4 ago 2023,mobile,18
4 ago 2023,desktop,13
5 ago 2023,mobile,31
5 ago 2023,desktop,9
6 ago 2023,mobile,8
6 ago 2023,desktop,7
6 ago 2023,tablet,1
7 ago 2023,mobile,50
7 ago 2023,desktop,23
8 ago 2023,mobile,28
8 ago 2023,desktop,14
9 ago 2023,desktop,51
9 ago 2023,mobile,51
10 ago 2023,mobile,69
10 ago 2023,desktop,17
11 ago 2023,mobile,26
11 ago 2023,desktop,14
12 ago 2023,mobile,39
12 ago 2023,desktop,9
13 ago 2023,mobile,23
13 ago 2023,desktop,2
14 ago 2023,desktop,37
14 ago 2023,mobile,24
15 ago 2023,mobile,46
15 ago 2023,desktop,24
15 ago 2023,tablet,1
16 ago 2023,mobile,54
16 ago 2023,desktop,19
16 ago 2023,tablet,1
17 ago 2023,mobile,64
17 ago 2023,desktop,17
17 ago 2023,tablet,1
18 ago 2023,desktop,31
18 ago 2023,mobile,28
18 ago 2023,tablet,5
19 ago 2023,mobile,48
19 ago 2023,desktop,17
20 ago 2023,mobile,18
20 ago 2023,desktop,4
21 ago 2023,mobile,14
21 ago 2023,desktop,7
22 ago 2023,mobile,28
22 ago 2023,desktop,18
23 ago 2023,mobile,51
23 ago 2023,desktop,31
24 ago 2023,mobile,150
24 ago 2023,desktop,30
25 ago 2023,mobile,27
25 ago 2023,desktop,12
26 ago 2023,mobile,40
26 ago 2023,desktop,7
27 ago 2023,mobile,16
27 ago 2023,desktop,15
28 ago 2023,desktop,33
28 ago 2023,mobile,14
29 ago 2023,mobile,45
29 ago 2023,desktop,25
30 ago 2023,mobile,19
30 ago 2023,desktop,6
31 ago 2023,desktop,39
31 ago 2023,mobile,37
1 sept 2023,mobile,37
1 sept 2023,desktop,24
2 sept 2023,mobile,40
2 sept 2023,desktop,11
3 sept 2023,mobile,13
3 sept 2023,desktop,7
4 sept 2023,mobile,19
4 sept 2023,desktop,17
5 sept 2023,mobile,35
5 sept 2023,desktop,14
6 sept 2023,mobile,35
6 sept 2023,desktop,21
6 sept 2023,tablet,2
7 sept 2023,mobile,75
7 sept 2023,desktop,22
8 sept 2023,mobile,22
8 sept 2023,desktop,15
9 sept 2023,mobile,63
9 sept 2023,desktop,21
10 sept 2023,mobile,21
10 sept 2023,desktop,12
11 sept 2023,mobile,29
11 sept 2023,desktop,10
12 sept 2023,mobile,18
12 sept 2023,desktop,13
13 sept 2023,mobile,96
13 sept 2023,desktop,19
14 sept 2023,mobile,66
14 sept 2023,desktop,38
14 sept 2023,tablet,2
15 sept 2023,mobile,39
15 sept 2023,desktop,13
16 sept 2023,mobile,34
16 sept 2023,desktop,16
17 sept 2023,mobile,24
17 sept 2023,desktop,11
18 sept 2023,mobile,37
18 sept 2023,desktop,22
19 sept 2023,mobile,45
19 sept 2023,desktop,23
20 sept 2023,mobile,95
20 sept 2023,desktop,28
21 sept 2023,mobile,48
21 sept 2023,desktop,25
22 sept 2023,desktop,11
22 sept 2023,mobile,10
23 sept 2023,mobile,17
23 sept 2023,desktop,13
24 sept 2023,mobile,20
24 sept 2023,desktop,2
25 sept 2023,desktop,39
25 sept 2023,mobile,34
26 sept 2023,mobile,81
26 sept 2023,desktop,43
26 sept 2023,tablet,3
27 sept 2023,mobile,39
27 sept 2023,desktop,16
28 sept 2023,mobile,57
28 sept 2023,desktop,34
28 sept 2023,tablet,1
29 sept 2023,mobile,39
29 sept 2023,desktop,20
30 sept 2023,mobile,83
30 sept 2023,desktop,19
1 oct 2023,mobile,37
1 oct 2023,desktop,3
2 oct 2023,mobile,34
2 oct 2023,desktop,15
3 oct 2023,mobile,35
3 oct 2023,desktop,16
3 oct 2023,tablet,5
4 oct 2023,mobile,52
4 oct 2023,desktop,25
5 oct 2023,mobile,42
5 oct 2023,desktop,18
6 oct 2023,mobile,26
6 oct 2023,desktop,23
7 oct 2023,mobile,44
7 oct 2023,desktop,15
7 oct 2023,tablet,5
8 oct 2023,mobile,19
8 oct 2023,desktop,6
8 oct 2023,tablet,2
9 oct 2023,mobile,39
9 oct 2023,desktop,19
9 oct 2023,tablet,1
10 oct 2023,mobile,144
10 oct 2023,desktop,36
10 oct 2023,tablet,2
11 oct 2023,mobile,51
11 oct 2023,desktop,27
11 oct 2023,tablet,1
12 oct 2023,mobile,54
12 oct 2023,desktop,33
13 oct 2023,mobile,15
