Fecha,Categoría de dispositivo,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones
18 ene 2019,mobile,4,3,0,0,3
19 ene 2019,desktop,1,0,0,0,1
19 ene 2019,mobile,12,3,0,0,5
20 ene 2019,desktop,8,2,0,0,4
20 ene 2019,mobile,3,1,0,0,2
21 ene 2019,desktop,13,5,0,0,8
21 ene 2019,mobile,2,0,0,0,2
22 ene 2019,mobile,6,2,0,0,4
22 ene 2019,desktop,47,4,0,0,6
23 ene 2019,tablet,5,1,0,0,1
23 ene 2019,mobile,11,1,0,0,3
23 ene 2019,desktop,10,3,0,0,6
24 ene 2019,mobile,5,1,0,0,3
24 ene 2019,desktop,33,3,0,0,10
25 ene 2019,desktop,6,4,0,0,6
25 ene 2019,mobile,12,3,0,0,3
26 ene 2019,desktop,6,2,0,0,5
26 ene 2019,mobile,5,0,0,0,2
27 ene 2019,mobile,4,3,0,0,3
28 ene 2019,desktop,8,2,0,0,6
28 ene 2019,mobile,18,4,0,0,12
29 ene 2019,mobile,7,1,0,0,5
29 ene 2019,desktop,16,6,0,0,8
30 ene 2019,mobile,9,2,0,0,5
30 ene 2019,desktop,5,3,0,0,3
31 ene 2019,mobile,5,2,0,0,3
31 ene 2019,desktop,2,0,0,0,2
1 feb 2019,mobile,15,3,0,0,6
1 feb 2019,desktop,9,2,0,0,5
2 feb 2019,mobile,11,1,0,0,4
2 feb 2019,desktop,1,1,0,0,1
3 feb 2019,desktop,1,0,0,0,1
3 feb 2019,mobile,2,2,0,0,2
4 feb 2019,mobile,14,7,0,0,9
4 feb 2019,desktop,30,7,0,0,11
5 feb 2019,mobile,8,5,0,0,6
5 feb 2019,desktop,4,2,0,0,4
6 feb 2019,mobile,5,3,0,0,3
6 feb 2019,desktop,16,4,0,0,7
7 feb 2019,desktop,115,8,0,0,12
7 feb 2019,mobile,2,1,0,0,1
8 feb 2019,desktop,10,5,0,0,7
8 feb 2019,mobile,8,5,0,0,5
9 feb 2019,mobile,8,4,0,0,5
9 feb 2019,desktop,9,6,0,0,7
10 feb 2019,mobile,4,2,0,0,4
10 feb 2019,desktop,8,4,0,0,4
11 feb 2019,desktop,17,6,0,0,11
11 feb 2019,mobile,4,2,0,0,3
12 feb 2019,mobile,5,5,0,0,5
12 feb 2019,desktop,18,11,0,0,15
13 feb 2019,tablet,2,1,0,0,2
13 feb 2019,desktop,8,6,0,0,8
13 feb 2019,mobile,2,1,0,0,2
14 feb 2019,mobile,6,2,0,0,4
14 feb 2019,desktop,10,1,0,0,10
15 feb 2019,mobile,11,3,0,0,4
15 feb 2019,desktop,9,3,0,0,8
15 feb 2019,tablet,1,1,0,0,1
16 feb 2019,desktop,7,5,0,0,6
16 feb 2019,mobile,7,1,0,0,2
17 feb 2019,desktop,6,4,0,0,4
17 feb 2019,mobile,6,2,0,0,4
18 feb 2019,mobile,11,9,0,0,11
18 feb 2019,desktop,20,8,0,0,10
19 feb 2019,desktop,10,5,0,0,10
19 feb 2019,tablet,2,1,0,0,1
19 feb 2019,mobile,2,2,0,0,2
20 feb 2019,desktop,13,9,0,0,12
20 feb 2019,mobile,7,5,0,0,5
21 feb 2019,desktop,16,7,0,0,8
21 feb 2019,mobile,3,3,0,0,3
21 feb 2019,tablet,1,1,0,0,1
22 feb 2019,mobile,9,6,0,0,6
22 feb 2019,desktop,7,2,0,0,6
23 feb 2019,desktop,6,2,0,0,3
23 feb 2019,mobile,8,1,0,0,4
24 feb 2019,mobile,1,0,0,0,1
24 feb 2019,desktop,3,2,0,0,3
25 feb 2019,desktop,18,10,0,0,12
25 feb 2019,mobile,6,4,0,0,5
26 feb 2019,mobile,7,3,0,0,5
26 feb 2019,desktop,12,7,0,0,8
27 feb 2019,desktop,5,1,0,0,2
27 feb 2019,mobile,3,3,0,0,3
28 feb 2019,desktop,20,7,0,0,11
28 feb 2019,mobile,4,4,0,0,4
1 mar 2019,mobile,1,1,0,0,1
1 mar 2019,desktop,5,3,0,0,4
2 mar 2019,mobile,22,2,0,0,3
2 mar 2019,desktop,3,2,0,0,3
3 mar 2019,mobile,4,0,0,0,1
3 mar 2019,desktop,1,1,0,0,1
4 mar 2019,desktop,5,3,0,0,3
4 mar 2019,mobile,8,0,0,0,1
5 mar 2019,mobile,6,3,0,0,3
5 mar 2019,desktop,5,4,0,0,5
6 mar 2019,desktop,20,5,0,0,8
6 mar 2019,tablet,2,1,0,0,1
6 mar 2019,mobile,3,3,0,0,3
7 mar 2019,desktop,11,5,0,0,7
7 mar 2019,mobile,10,6,0,0,6
8 mar 2019,mobile,3,2,0,0,3
8 mar 2019,desktop,7,5,0,0,6
9 mar 2019,desktop,26,6,0,0,9
9 mar 2019,mobile,5,3,0,0,4
10 mar 2019,mobile,3,3,0,0,3
10 mar 2019,desktop,3,3,0,0,3
11 mar 2019,desktop,24,7,0,0,9
11 mar 2019,mobile,11,5,0,0,6
12 mar 2019,mobile,8,6,0,0,7
12 mar 2019,desktop,20,8,0,0,13
13 mar 2019,mobile,15,3,0,0,5
13 mar 2019,desktop,12,8,0,0,10
14 mar 2019,desktop,14,5,0,0,10
14 mar 2019,mobile,6,1,0,0,4
15 mar 2019,desktop,22,9,0,0,15
15 mar 2019,mobile,17,9,0,0,10
15 mar 2019,tablet,1,1,0,0,1
16 mar 2019,desktop,13,6,0,0,9
16 mar 2019,mobile,7,4,0,0,5
17 mar 2019,desktop,1,1,0,0,1
17 mar 2019,mobile,6,2,0,0,6
18 mar 2019,desktop,19,6,0,0,10
18 mar 2019,mobile,9,3,0,0,3
19 mar 2019,desktop,7,5,0,0,6
19 mar 2019,mobile,4,4,0,0,4
20 mar 2019,mobile,21,6,0,0,6
