Fecha,Categoría de dispositivo,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones
3 dic 2022,desktop,4,2,2,1,2
4 dic 2022,desktop,17,2,3,1.5,3
4 dic 2022,mobile,3,2,2,1,2
5 dic 2022,desktop,8,5,6,1,6
5 dic 2022,mobile,3,2,2,1,2
6 dic 2022,desktop,25,2,3,1.3333333333333333,4
6 dic 2022,mobile,2,2,2,1,2
7 dic 2022,desktop,11,5,8,1.4285714285714286,10
7 dic 2022,mobile,12,7,7,1,7
8 dic 2022,mobile,7,6,6,1,6
8 dic 2022,desktop,3,1,3,1.5,3
9 dic 2022,desktop,2,1,1,1,1
9 dic 2022,mobile,1,1,1,1,1
10 dic 2022,desktop,5,5,5,1,5
10 dic 2022,mobile,2,2,2,1,2
11 dic 2022,mobile,3,2,2,1,2
12 dic 2022,desktop,11,6,7,1,7
12 dic 2022,mobile,5,5,5,1,5
13 dic 2022,desktop,6,4,6,1,6
14 dic 2022,desktop,3,3,3,1,3
14 dic 2022,mobile,3,2,2,1,2
15 dic 2022,desktop,9,3,5,1,5
15 dic 2022,mobile,3,2,2,1.5,3
16 dic 2022,desktop,5,2,3,1.3333333333333333,4
16 dic 2022,mobile,4,3,3,1,3
17 dic 2022,mobile,4,3,3,1,3
17 dic 2022,desktop,1,1,1,1,1
18 dic 2022,mobile,1,0,1,1,1
19 dic 2022,desktop,17,8,9,1.1111111111111112,10
19 dic 2022,mobile,3,3,3,1,3
20 dic 2022,mobile,5,3,3,1,3
21 dic 2022,desktop,3,1,1,1,1
21 dic 2022,mobile,1,1,1,1,1
22 dic 2022,desktop,1,1,2,1,2
22 dic 2022,mobile,2,0,1,null,2
23 dic 2022,desktop,1,1,1,1,1
23 dic 2022,mobile,2,1,2,2,2
24 dic 2022,desktop,1,1,1,1,1
24 dic 2022,mobile,1,1,1,1,1
25 dic 2022,mobile,3,2,3,1.5,3
25 dic 2022,desktop,1,1,1,1,1
26 dic 2022,desktop,2,2,3,1.5,3
26 dic 2022,mobile,1,1,1,1,1
27 dic 2022,mobile,2,1,2,2,2
27 dic 2022,tablet,1,1,1,1,1
28 dic 2022,desktop,1,1,1,1,1
29 dic 2022,desktop,1,1,1,1,1
29 dic 2022,mobile,1,1,1,1,1
30 dic 2022,mobile,3,3,3,1,3
30 dic 2022,tablet,1,1,1,1,1
30 dic 2022,desktop,0,0,1,null,1
31 dic 2022,desktop,1,1,1,1,1
31 dic 2022,mobile,1,1,1,1,1
1 ene 2023,mobile,2,1,1,1,1
2 ene 2023,desktop,4,2,2,1,2
3 ene 2023,desktop,3,1,2,2,2
4 ene 2023,mobile,7,4,4,1,4
4 ene 2023,desktop,1,0,2,2,2
5 ene 2023,desktop,1,1,1,1,1
5 ene 2023,mobile,1,1,1,1,1
6 ene 2023,mobile,3,3,3,1,3
7 ene 2023,mobile,2,2,2,1,2
8 ene 2023,mobile,6,3,3,1,3
9 ene 2023,desktop,4,3,3,1,3
9 ene 2023,mobile,1,1,1,1,1
10 ene 2023,desktop,1,1,1,1,1
11 ene 2023,desktop,1,1,1,1,1
13 ene 2023,mobile,6,3,3,1.6666666666666667,5
14 ene 2023,mobile,2,2,2,1,2
14 ene 2023,desktop,1,1,1,1,1
15 ene 2023,mobile,2,1,1,2,2
16 ene 2023,desktop,3,2,2,1,2
16 ene 2023,mobile,1,1,1,1,1
17 ene 2023,desktop,2,1,1,1,1
18 ene 2023,desktop,3,1,2,1,2
19 ene 2023,desktop,1,1,1,1,1
20 ene 2023,mobile,3,3,3,1,3
21 ene 2023,mobile,4,3,4,1,4
21 ene 2023,desktop,2,2,2,1,2
22 ene 2023,desktop,1,1,1,1,1
22 ene 2023,mobile,2,1,1,1,1
23 ene 2023,desktop,1,1,1,1,1
24 ene 2023,mobile,4,4,4,1,4
24 ene 2023,desktop,1,1,1,1,1
25 ene 2023,desktop,3,2,2,1,2
25 ene 2023,mobile,1,0,1,null,1
26 ene 2023,desktop,2,1,2,1,2
26 ene 2023,mobile,3,2,2,1,2
27 ene 2023,desktop,6,5,5,1.2,6
27 ene 2023,mobile,2,1,2,1,2
28 ene 2023,mobile,2,1,1,1,1
29 ene 2023,mobile,2,1,2,1,2
30 ene 2023,mobile,6,3,3,1,3
30 ene 2023,desktop,3,2,2,1,2
31 ene 2023,desktop,8,5,5,1,5
31 ene 2023,mobile,3,2,2,1,2
1 feb 2023,desktop,1,1,1,1,1
2 feb 2023,desktop,6,2,5,1.6666666666666667,5
2 feb 2023,mobile,2,2,2,1,2
3 feb 2023,desktop,5,2,5,1.6666666666666667,5
3 feb 2023,mobile,3,3,3,1,3
4 feb 2023,mobile,5,3,5,1.25,5
5 feb 2023,desktop,1,1,1,1,1
5 feb 2023,mobile,1,1,1,1,1
6 feb 2023,desktop,5,3,4,1.25,5
6 feb 2023,mobile,5,2,4,1,4
7 feb 2023,mobile,13,3,3,1,3
7 feb 2023,desktop,4,2,2,1.5,3
8 feb 2023,desktop,5,1,3,1,3
8 feb 2023,mobile,4,3,3,1.3333333333333333,4
9 feb 2023,desktop,5,2,3,1,3
9 feb 2023,mobile,3,2,3,1.5,3
10 feb 2023,desktop,6,2,2,1,2
10 feb 2023,mobile,2,0,1,null,2
11 feb 2023,desktop,4,3,3,1,3
12 feb 2023,desktop,7,3,4,1.25,5
12 feb 2023,mobile,1,1,1,1,1
13 feb 2023,desktop,9,3,5,1.75,7
13 feb 2023,mobile,1,1,1,1,1
14 feb 2023,desktop,19,4,6,1,6
14 feb 2023,mobile,2,1,1,1,1
15 feb 2023,desktop,11,3,4,1.25,5
15 feb 2023,mobile,2,1,2,1,2
16 feb 2023,desktop,15,4,6,1.1666666666666667,7
