Fecha,Categoría de dispositivo,Número de vistas de página
21 jun 2019,mobile,49
21 jun 2019,desktop,44
22 jun 2019,mobile,15
22 jun 2019,tablet,7
22 jun 2019,desktop,16
23 jun 2019,mobile,4
23 jun 2019,desktop,10
24 jun 2019,desktop,21
24 jun 2019,mobile,8
25 jun 2019,tablet,1
25 jun 2019,desktop,43
25 jun 2019,mobile,19
26 jun 2019,tablet,4
26 jun 2019,mobile,38
26 jun 2019,desktop,60
27 jun 2019,mobile,20
27 jun 2019,desktop,30
28 jun 2019,desktop,45
28 jun 2019,mobile,26
29 jun 2019,mobile,1
29 jun 2019,desktop,17
29 jun 2019,tablet,1
30 jun 2019,desktop,15
30 jun 2019,mobile,3
1 jul 2019,desktop,48
1 jul 2019,mobile,6
2 jul 2019,desktop,16
2 jul 2019,tablet,2
2 jul 2019,mobile,37
3 jul 2019,mobile,44
3 jul 2019,tablet,7
3 jul 2019,desktop,24
4 jul 2019,mobile,35
4 jul 2019,desktop,15
5 jul 2019,mobile,11
5 jul 2019,desktop,28
6 jul 2019,desktop,3
6 jul 2019,mobile,18
7 jul 2019,mobile,12
7 jul 2019,tablet,1
7 jul 2019,desktop,1
8 jul 2019,desktop,9
9 jul 2019,desktop,12
9 jul 2019,mobile,1
10 jul 2019,desktop,12
10 jul 2019,mobile,14
11 jul 2019,desktop,15
11 jul 2019,mobile,10
12 jul 2019,mobile,14
12 jul 2019,desktop,7
13 jul 2019,desktop,2
13 jul 2019,mobile,20
14 jul 2019,desktop,8
14 jul 2019,mobile,9
15 jul 2019,mobile,4
15 jul 2019,desktop,6
16 jul 2019,desktop,16
16 jul 2019,mobile,2
17 jul 2019,desktop,17
17 jul 2019,mobile,15
18 jul 2019,desktop,5
18 jul 2019,mobile,20
19 jul 2019,mobile,7
19 jul 2019,desktop,7
20 jul 2019,desktop,1
21 jul 2019,desktop,1
21 jul 2019,mobile,1
22 jul 2019,desktop,23
22 jul 2019,mobile,2
23 jul 2019,mobile,17
23 jul 2019,desktop,15
24 jul 2019,desktop,27
24 jul 2019,mobile,5
25 jul 2019,desktop,27
25 jul 2019,mobile,13
26 jul 2019,mobile,39
26 jul 2019,desktop,16
27 jul 2019,mobile,9
27 jul 2019,desktop,3
28 jul 2019,mobile,4
28 jul 2019,desktop,1
29 jul 2019,mobile,5
29 jul 2019,tablet,1
29 jul 2019,desktop,12
30 jul 2019,mobile,30
30 jul 2019,desktop,17
31 jul 2019,mobile,20
31 jul 2019,desktop,19
1 ago 2019,desktop,18
1 ago 2019,mobile,11
2 ago 2019,desktop,40
2 ago 2019,mobile,19
3 ago 2019,desktop,4
3 ago 2019,mobile,5
4 ago 2019,mobile,12
4 ago 2019,desktop,9
5 ago 2019,desktop,8
5 ago 2019,mobile,16
6 ago 2019,mobile,21
6 ago 2019,desktop,22
7 ago 2019,mobile,17
7 ago 2019,desktop,12
8 ago 2019,mobile,56
8 ago 2019,desktop,6
9 ago 2019,mobile,15
9 ago 2019,desktop,9
10 ago 2019,desktop,15
10 ago 2019,mobile,13
11 ago 2019,mobile,4
11 ago 2019,desktop,14
12 ago 2019,desktop,8
12 ago 2019,mobile,5
13 ago 2019,desktop,37
13 ago 2019,mobile,8
14 ago 2019,desktop,41
14 ago 2019,mobile,37
15 ago 2019,desktop,17
15 ago 2019,mobile,9
16 ago 2019,desktop,25
16 ago 2019,mobile,23
17 ago 2019,desktop,9
17 ago 2019,mobile,42
18 ago 2019,desktop,1
18 ago 2019,mobile,1
19 ago 2019,desktop,21
19 ago 2019,mobile,16
20 ago 2019,mobile,25
20 ago 2019,desktop,25
21 ago 2019,mobile,28
21 ago 2019,desktop,18
22 ago 2019,mobile,6
22 ago 2019,desktop,19
23 ago 2019,mobile,28
23 ago 2019,desktop,46
24 ago 2019,desktop,9
24 ago 2019,mobile,10
25 ago 2019,desktop,2
25 ago 2019,mobile,7
26 ago 2019,desktop,30
26 ago 2019,mobile,14
27 ago 2019,mobile,25
27 ago 2019,desktop,78
28 ago 2019,desktop,99
28 ago 2019,mobile,29
29 ago 2019,desktop,36
29 ago 2019,mobile,5
30 ago 2019,desktop,54
30 ago 2019,mobile,30
31 ago 2019,mobile,17
31 ago 2019,desktop,14
1 sept 2019,mobile,4
1 sept 2019,desktop,3
2 sept 2019,desktop,27
2 sept 2019,mobile,3
3 sept 2019,desktop,14
3 sept 2019,mobile,9
4 sept 2019,mobile,67
4 sept 2019,desktop,25
5 sept 2019,mobile,8
5 sept 2019,desktop,24
6 sept 2019,mobile,27
6 sept 2019,desktop,19
7 sept 2019,desktop,16
7 sept 2019,mobile,5
8 sept 2019,desktop,1
8 sept 2019,mobile,11
9 sept 2019,desktop,20
9 sept 2019,mobile,36
10 sept 2019,mobile,8
10 sept 2019,desktop,20
11 sept 2019,mobile,41
11 sept 2019,desktop,24
12 sept 2019,tablet,1
12 sept 2019,mobile,20
12 sept 2019,desktop,15
13 sept 2019,desktop,13
13 sept 2019,mobile,13
14 sept 2019,desktop,13
14 sept 2019,mobile,21
15 sept 2019,mobile,4
15 sept 2019,desktop,4
16 sept 2019,desktop,100
16 sept 2019,mobile,17
17 sept 2019,mobile,24
17 sept 2019,desktop,259
18 sept 2019,mobile,60
18 sept 2019,desktop,37
19 sept 2019,mobile,64
19 sept 2019,desktop,71
20 sept 2019,mobile,317
20 sept 2019,desktop,102
21 sept 2019,mobile,358
21 sept 2019,desktop,78
22 sept 2019,mobile,322
22 sept 2019,desktop,110
23 sept 2019,desktop,122
23 sept 2019,tablet,3
23 sept 2019,mobile,305
24 sept 2019,desktop,85
24 sept 2019,tablet,17
24 sept 2019,mobile,253
25 sept 2019,mobile,148
25 sept 2019,desktop,62
26 sept 2019,desktop,144
26 sept 2019,mobile,271
26 sept 2019,tablet,11
27 sept 2019,mobile,52
27 sept 2019,desktop,43
28 sept 2019,desktop,11
28 sept 2019,mobile,16
29 sept 2019,desktop,3
29 sept 2019,mobile,13
30 sept 2019,mobile,81
30 sept 2019,desktop,16
1 oct 2019,mobile,43
1 oct 2019,desktop,23
2 oct 2019,mobile,61
2 oct 2019,desktop,31
3 oct 2019,desktop,21
3 oct 2019,mobile,7
4 oct 2019,mobile,11
4 oct 2019,desktop,13
5 oct 2019,mobile,6
5 oct 2019,desktop,9
6 oct 2019,desktop,4
6 oct 2019,mobile,2
7 oct 2019,desktop,27
7 oct 2019,mobile,21
8 oct 2019,desktop,103
8 oct 2019,mobile,16
9 oct 2019,mobile,3
9 oct 2019,desktop,14
10 oct 2019,mobile,9
10 oct 2019,desktop,22
11 oct 2019,mobile,16
11 oct 2019,desktop,20
12 oct 2019,desktop,2
12 oct 2019,mobile,11
13 oct 2019,tablet,1
13 oct 2019,mobile,2
14 oct 2019,mobile,25
14 oct 2019,desktop,14
15 oct 2019,mobile,18
15 oct 2019,desktop,63
16 oct 2019,mobile,61
16 oct 2019,desktop,16
17 oct 2019,mobile,9
17 oct 2019,desktop,134
18 oct 2019,desktop,6
18 oct 2019,mobile,14
19 oct 2019,desktop,4
19 oct 2019,mobile,10
20 oct 2019,mobile,8
20 oct 2019,desktop,4
21 oct 2019,desktop,15
21 oct 2019,mobile,17
22 oct 2019,mobile,27
22 oct 2019,desktop,22
23 oct 2019,mobile,24
