Fecha,Agrupación de canales predeterminada,Número de vistas de página
5 ago 2019,Direct,5
5 ago 2019,Social,48
6 ago 2019,Organic Search,103
6 ago 2019,Referral,6
6 ago 2019,Direct,10
6 ago 2019,Social,1
7 ago 2019,Organic Search,68
7 ago 2019,Direct,1
7 ago 2019,Referral,7
8 ago 2019,Organic Search,244
8 ago 2019,Direct,5
9 ago 2019,Organic Search,35
9 ago 2019,Referral,21
9 ago 2019,Social,26
9 ago 2019,Direct,25
10 ago 2019,Organic Search,39
10 ago 2019,Direct,7
11 ago 2019,Organic Search,34
11 ago 2019,Direct,2
12 ago 2019,Social,16
12 ago 2019,Direct,5
12 ago 2019,Organic Search,88
13 ago 2019,Referral,11
13 ago 2019,Direct,8
13 ago 2019,Organic Search,174
14 ago 2019,Referral,1
14 ago 2019,Direct,11
14 ago 2019,Organic Search,62
15 ago 2019,Organic Search,74
15 ago 2019,Direct,11
16 ago 2019,Organic Search,87
16 ago 2019,Direct,22
17 ago 2019,Referral,2
17 ago 2019,Direct,8
17 ago 2019,Organic Search,24
18 ago 2019,Direct,5
18 ago 2019,Organic Search,44
18 ago 2019,Social,1
19 ago 2019,Organic Search,44
19 ago 2019,Direct,7
19 ago 2019,Social,3
20 ago 2019,Organic Search,139
20 ago 2019,Direct,5
21 ago 2019,Organic Search,80
21 ago 2019,Direct,14
22 ago 2019,Direct,75
22 ago 2019,Organic Search,219
23 ago 2019,Organic Search,203
23 ago 2019,Direct,91
24 ago 2019,Organic Search,57
24 ago 2019,Social,4
24 ago 2019,Direct,23
25 ago 2019,Organic Search,83
25 ago 2019,Direct,58
25 ago 2019,Social,15
25 ago 2019,Referral,4
26 ago 2019,Organic Search,143
26 ago 2019,Social,2
26 ago 2019,Direct,63
27 ago 2019,Referral,2
27 ago 2019,Organic Search,151
27 ago 2019,Direct,134
27 ago 2019,Social,2
28 ago 2019,Direct,42
28 ago 2019,Organic Search,167
28 ago 2019,Referral,2
29 ago 2019,Referral,4
29 ago 2019,Direct,35
29 ago 2019,Organic Search,245
29 ago 2019,Social,1
30 ago 2019,Organic Search,84
30 ago 2019,Referral,3
30 ago 2019,Direct,16
30 ago 2019,Social,3
31 ago 2019,Social,1
31 ago 2019,Organic Search,42
31 ago 2019,Referral,2
31 ago 2019,Direct,29
1 sept 2019,Organic Search,14
1 sept 2019,Direct,7
2 sept 2019,Organic Search,74
2 sept 2019,Direct,13
2 sept 2019,Referral,5
3 sept 2019,Direct,12
3 sept 2019,Organic Search,26
3 sept 2019,Referral,7
4 sept 2019,Social,23
4 sept 2019,Referral,6
4 sept 2019,Direct,20
4 sept 2019,Organic Search,184
5 sept 2019,Social,15
5 sept 2019,Direct,84
5 sept 2019,Referral,1
