,Fecha,Número de vistas de página,Usuarios nuevos,Usuarios,Número de sesiones por usuario,Sesiones,Argentina,Otros Paises,desktop,mobile,tablet,Categoría de dispositivo promedio,Categoría de dispositivo std,Linux,Android,iOS,Windows,Macintosh,Windows Phone,Sistema operativo (not set),Chrome OS,BlackBerry,FreeBSD,Playstation 4,Sistema operativo promedio,Sistema operativo std,Direct,Organic Search,Referral,Social,Paid Search,Agrupación de canales predeterminada promedio,Agrupación de canales predeterminada std
64,11 dic 2018,92,9,12,1.0,12,92,0,60,32,0,30.66666666666667,24.513035081133648,0,32,0,60,0,0,0,0,0,0,0,8.363636363636363,18.71932752906727,6,85,0,1,0,18.4,33.374241564416124
65,12 dic 2018,46,9,14,1.0714285714285714,15,46,0,23,23,0,15.333333333333336,10.842303978193726,0,23,0,23,0,0,0,0,0,0,0,4.181818181818182,8.870975982158505,3,20,0,23,0,9.2,10.146920715172657
66,13 dic 2018,92,12,16,1.125,18,85,7,26,66,0,30.66666666666667,27.145697428669767,0,65,1,20,6,0,0,0,0,0,0,8.363636363636363,18.811373384073832,5,79,6,2,0,18.4,30.37498971193241
67,14 dic 2018,84,11,15,1.1333333333333333,17,68,16,76,8,0,28.0,34.09789827345179,1,8,0,60,15,0,0,0,0,0,0,7.636363636363638,17.18494440053813,9,38,37,0,0,16.8,17.220917513303412
68,15 dic 2018,3,1,1,1.0,1,3,0,3,0,0,1.0,1.4142135623730951,3,0,0,0,0,0,0,0,0,0,0,0.2727272727272727,0.8624393618641036,0,3,0,0,0,0.6,1.2000000000000002
69,16 dic 2018,57,3,4,1.0,4,57,0,56,1,0,19.0,26.166135875720485,0,1,0,56,0,0,0,0,0,0,0,5.181818181818182,16.072665569605952,0,57,0,0,0,11.4,22.8
70,17 dic 2018,72,19,24,1.0,24,64,8,54,18,0,24.0,22.44994432064365,5,16,2,48,1,0,0,0,0,0,0,6.545454545454546,13.878457055736918,3,53,0,16,0,14.4,20.185143051264216
71,18 dic 2018,25,11,13,1.0769230769230769,14,20,5,21,4,0,8.333333333333334,9.10433352249844,1,4,0,20,0,0,0,0,0,0,0,2.272727272727273,5.722219993402259,4,9,8,4,0,5.0,3.2249030993194197
72,19 dic 2018,60,7,8,1.125,9,46,14,58,2,0,20.0,26.8824602048746,0,2,0,44,14,0,0,0,0,0,0,5.454545454545454,12.823016496367604,14,24,0,22,0,12.0,10.353743284435827
73,20 dic 2018,72,7,10,1.0,10,72,0,69,3,0,24.0,31.84336665618132,0,3,0,69,0,0,0,0,0,0,0,6.545454545454546,19.768494844821948,3,67,1,1,0,14.4,26.31805463935357
74,21 dic 2018,16,4,6,1.0,6,9,7,16,0,0,5.333333333333333,7.542472332656508,0,0,0,16,0,0,0,0,0,0,0,1.4545454545454546,4.599676596608551,7,3,6,0,0,3.2,2.9257477676655586
75,22 dic 2018,24,4,5,1.0,5,24,0,13,11,0,8.0,5.715476066494082,0,11,0,13,0,0,0,0,0,0,0,2.1818181818181817,4.647935647696079,0,24,0,0,0,4.8,9.6
76,23 dic 2018,40,3,4,1.0,4,37,3,5,35,0,13.333333333333336,15.456030825826172,0,2,0,5,0,33,0,0,0,0,0,3.636363636363636,9.402830591927936,0,40,0,0,0,8.0,16.0
77,24 dic 2018,1,1,1,1.0,1,1,0,1,0,0,0.3333333333333333,0.4714045207910317,0,0,0,1,0,0,0,0,0,0,0,0.09090909090909093,0.2874797872880344,0,1,0,0,0,0.2,0.4000000000000001
78,25 dic 2018,9,3,3,1.0,3,8,1,7,2,0,3.0,2.943920288775949,0,1,1,7,0,0,0,0,0,0,0,0.8181818181818182,1.9917183909278768,1,8,0,0,0,1.8,3.124099870362662
